Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
KOPPERS DENMARK ApS,"Avernakke 1, 5800 Nyborg",Nyborg,01.07.1987,104.0,Mellemstor,Anpartsselskab,11000738,70.0,75823000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPG Coatings Danmark A/S,"Gladsaxevej 300, 2860 Søborg",Gladsaxe,18.12.1995,316.0,Stor,Aktieselskab,18998696,110.0,285366000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MBM&MAB A/S,"Bilstrupvej 2, 7800 Skive",Skive,01.11.1986,21.0,Lille,Aktieselskab,10485045,1.125,4318000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Soap Danmark A/S,"Gl. Donsvej 6, 6000 Kolding",Kolding,05.05.2022,1.0,Mikro,Aktieselskab,43246755,500.0,-6346000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW-COAT A/S,"Finlandsgade 15 3 th, 2300 København S",København,01.12.1995,1.0,Mikro,Aktieselskab,18942941,500.0,887000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FYRVÆRKERIFABRIKKEN NORDLYS ApS,"Saltougvej 1, 4943 Torrig L",Lolland,01.11.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14700803,125.0,10000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPPON GASES DANMARK A/S,"Røde Banke 120, 7000 Fredericia",Fredericia,29.08.1933,96.0,Mellemstor,Aktieselskab,64233610,10.0,163620000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALPHA PRODUCTS ApS,"Bubbelvej 6, 5592 Ejby",Middelfart,27.06.2002,5.0,Mikro,Anpartsselskab,26675421,125.0,2355000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chemworks ApS,"Mosetoften 6, 8722 Hedensted",Hedensted,13.05.2005,2.0,Mikro,Anpartsselskab,28704437,139.0,2162000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEQ Recycling ApS,"Kristensmindevej 2, 4250 Fuglebjerg",Næstved,16.10.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34723885,80.0,519000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
