Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne,Fremstilling af andre dele og tilbehør til motorkøretøjer,Fremstilling af motorkøretøjer,Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
EXCALIBUR-DENMARK ApS,"Toftevej 100, 4913 Horslunde",Lolland,04.05.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30578279,125.0,-60000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
HFR TRAILER A/S,"Jens Terp-Nielsens Vej 11, 6200 Aabenraa",Aabenraa,01.05.1991,27.0,Lille,Aktieselskab,15085703,500.0,19967000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
NCK DESIGN ApS,"Lunagervej 4, 2650 Hvidovre",Hvidovre,01.05.2003,2.0,Mikro,Anpartsselskab,27161103,125.0,1512000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
Brdr. Salquist A/S,"Nørvang 19, 7950 Erslev",Morsø,28.01.2016,5.0,Mikro,Aktieselskab,37406376,500.0,3028000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
LASTO ApS,"Vejlevangen 5, 5300 Kerteminde",Kerteminde,01.01.1993,13.0,Lille,Anpartsselskab,16606693,4.0,10686000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
Trailer Stewie ApS,"Trindsøvej 6 1, 8000 Aarhus C",Århus,28.06.2021,1.0,Mikro,Anpartsselskab,42501018,40.0,-528000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
ISABELLA A/S,"Isabellahøj 3, 7100 Vejle",Vejle,30.01.1978,88.0,Mellemstor,Aktieselskab,87619117,3.0,69128000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
Meneta Composite Materials ApS,"Strandholtvej 49, 5270 Odense N",Odense,31.05.2018,18.0,Lille,Anpartsselskab,39612291,300.0,-3266000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
MILANTA A/S,"Brombærvej 23, 8462 Harlev J",Århus,25.05.1989,3.0,Mikro,Aktieselskab,13092745,500.0,1817000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
VM TARM A/S,"Tværvej 25, 6880 Tarm",Ringkøbing-Skjern,22.12.1987,318.0,Stor,Aktieselskab,11784879,2.2,166418000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
AUTO UNO ApS,"Østergade 48, 7400 Herning",Herning,28.11.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36447869,50.0,85000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
FLK CABIN A/S,"Rømøvej 26, 6520 Toftlund",Tønder,01.01.1998,14.0,Lille,Aktieselskab,20655089,500.0,8921000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
OA Opbyg ApS,"Hjulmagervej 9, 4300 Holbæk",Holbæk,20.04.2017,10.0,Lille,Anpartsselskab,38580604,50.0,5879000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
HERNING CONTAINERFABRIK ApS,"Hedelandsvej 2, 7400 Herning",Herning,24.01.1989,7.0,Mikro,Anpartsselskab,12790872,125.0,3387000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
CS TECHCOM ApS,"Skiltemagervej 3, 8722 Hedensted",Hedensted,23.02.1998,5.0,Mikro,Anpartsselskab,20674946,125.0,29000.0,DKK,2024.0,1,0,29,,1.0,0.0,0.0
A. E. AUTO ELECTRONIC ApS,"Mesterlodden 4, 2820 Gentofte",Gentofte,13.05.1994,1.0,Mikro,Anpartsselskab,17884743,200.0,525000.0,DKK,2023.0,0,0,29,,0.0,0.0,1.0
KLOKKERHOLM KAROSSERIDELE A/S,"Kløvervej 6, 9320 Hjallerup",Brønderslev-Dronninglund,27.09.1974,108.0,Mellemstor,Aktieselskab,34250316,511.0,161497000.0,DKK,2024.0,1,0,29,,1.0,0.0,0.0
A/S JYDSK ALUMINIUM INDUSTRI,"Mørupvej 9, 7400 Herning",Herning,26.08.1959,244.0,Mellemstor,Aktieselskab,38523716,10.006,131329000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
SUNDS SMEDE- OG MASKINFORRETNING ApS,"Drejervej 13, 7451 Sunds",Herning,24.03.1997,20.0,Lille,Anpartsselskab,19963233,125.0,18020000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
MM PRODUCTION SKANDERBORG ApS,"Martin A Hansens Vej 26, 8660 Skanderborg",Skanderborg,01.09.1999,1.0,Mikro,Anpartsselskab,24235157,125.0,704000.0,DKK,2023.0,0,0,29,,0.0,0.0,1.0
RUBE Karrosseri ApS,"Ellegårdvej 6, 6400 Sønderborg",Sønderborg,18.04.2018,13.0,Lille,Anpartsselskab,39511711,50.0,3973000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
Mustang Brands ApS,"Bakkegårdsvej 211, 3050 Humlebæk",Fredensborg,16.03.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41249897,40.0,-69000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
ASNÆS KAROSSERIFABRIK ApS,"Rådhusvej 19, 4550 Asnæs",Odsherred,01.11.1990,1.0,Mikro,Anpartsselskab,14732632,200.0,-22000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
ArcaSafe ApS,"Heldager Mosevej 2, 5700 Svendborg",Svendborg,27.10.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39047632,50.0,382000.0,DKK,2023.0,0,0,29,,0.0,0.0,1.0
BRDR. PLAGBORG A/S,"Lindevej 12, 7100 Vejle",Vejle,16.02.2002,115.0,Mellemstor,Aktieselskab,26472008,500.0,70226000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
PUREFI A/S,"Rugmarken 37, 3520 Farum",Furesø,21.01.2003,5.0,Mikro,Aktieselskab,10120861,500.0,2977000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
NORDJYSK KØLERFABRIK A/S,"Ølgodvej 4, 9220 Aalborg Øst",Aalborg,01.10.1986,8.0,Mikro,Aktieselskab,10434270,500.0,4440000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
Aquila Racing Cars A/S,"Kastrupvej 31, 6510 Gram",Haderslev,16.02.2017,5.0,Mikro,Aktieselskab,38424521,500.0,2451000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
SCHMIDT TIP ApS,"Industrivej 23, 6240 Løgumkloster",Tønder,08.12.2008,9.0,Mikro,Anpartsselskab,31879078,125.0,2638000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
AT190175 ApS,"Skovbovej 37, 4632 Bjæverskov",Køge,10.05.1995,1.0,Mikro,Anpartsselskab,18537095,200.0,200000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
PARKLAND MASKINFABRIK A/S,"Vejlemosevej 14, 4160 Herlufmagle",Næstved,01.05.1993,16.0,Lille,Aktieselskab,16988804,1.5,4235000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
HMF GROUP A/S,"Oddervej 200, 8270 Højbjerg",Århus,15.04.2011,421.0,Stor,Aktieselskab,33639317,10.0,329907000.0,DKK,2023.0,1,1,29,1.0,0.0,0.0,0.0
Milkon ApS,"Industriparken 16, 6880 Tarm",Ringkøbing-Skjern,05.02.2023,8.0,Mikro,Anpartsselskab,43849956,40.0,2503000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
Bucher Municipal A/S,"Lillehøjvej 15, 8600 Silkeborg",Silkeborg,24.03.1997,254.0,Stor,Aktieselskab,20010088,6.5,129523000.0,DKK,2023.0,1,0,29,,0.0,1.0,0.0
Ølholm Air Teknik ApS,"Gosmervej 90, 8300 Odder",Odder,28.06.2019,3.0,Mikro,Anpartsselskab,40619879,50.0,753000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
MIDTJYSK SMEDIE ApS,"Tinghøjvej 20 B, 7470 Karup J",Viborg,01.07.2007,2.0,Mikro,Anpartsselskab,30803388,125.0,1486000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
SKIBBY JENSEN SMEDIE A/S,"Fuglebækvej 6, 2770 Kastrup",Tårnby,23.03.2000,26.0,Lille,Aktieselskab,25319117,500.0,16774000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
HMK Bilcon A/S,"Hadsundvej 295, 9260 Gistrup",Aalborg,02.02.2017,129.0,Mellemstor,Aktieselskab,38387324,6.0,90744000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
BraunAbility Denmark A/S,"Kliplev Erhvervspark 15, 6200 Aabenraa",Aabenraa,01.07.1999,8.0,Mikro,Aktieselskab,24209415,501.0,8648000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
NØRGAARD TEKNIK A/S,"Nørgaardsvej 5, 8963 Auning",Norddjurs,13.06.1996,74.0,Mellemstor,Aktieselskab,19372731,500.0,33452000.0,DKK,2023.0,1,0,29,,0.0,1.0,0.0
VBI Minibus ApS,"Kliplev Erhvervspark 1, 6200 Aabenraa",Aabenraa,01.12.2014,20.0,Lille,Anpartsselskab,35872574,50.0,27383000.0,DKK,2023.0,0,0,29,,1.0,1.0,0.0
PAN Invest ApS,"Gårslev Østergade 14, 7080 Børkop",Vejle,29.06.1972,1.0,Mikro,Anpartsselskab,37988715,846.0,15474000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
Copenhagen GT ApS,"Gøngehusvej 174, 2950 Vedbæk",Rudersdal,11.11.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39098520,51.0,-16000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
MH Bilindretning ApS,"Vanggårdsvej 10, 6600 Vejen",Vejen,29.06.2021,9.0,Mikro,Anpartsselskab,42503924,40.0,3380000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
MUSTANG TRAILERS ApS,"Bakkegårdsvej 211, 3050 Humlebæk",Fredensborg,16.03.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41249870,40.0,27000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
NEERGAARD FINANS ApS,"Christiansmindevej 24, 8660 Skanderborg",Skanderborg,02.09.1992,Ikke oplyst,Ikke oplyst,Anpartsselskab,16485195,560.0,-38000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
SAMSON AGRO A/S,"Vestermarksvej 25, 8800 Viborg",Viborg,15.05.1979,244.0,Mellemstor,Aktieselskab,84534412,11.0,215453000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
