Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne,Fremstilling af andre dele og tilbehør til motorkøretøjer,Fremstilling af motorkøretøjer,Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
GRUNDVAD MASKINHANDEL A/S,"Syvagervej 2, 8800 Viborg",Viborg,28.11.2000,12.0,Lille,Aktieselskab,10055857,1.0,7178000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
MAERSK CONTAINER INDUSTRY A/S,"Bjerndrupvej 47, 6360 Tinglev",Aabenraa,08.01.1990,127.0,Mellemstor,Aktieselskab,13823774,102.0,226068000.0,DKK,2023.0,1,0,29,1.0,0.0,0.0,0.0
HAUBERG TECHNIQUE A/S,"Færøgade 6, 4690 Haslev",Faxe,28.05.2008,11.0,Lille,Aktieselskab,31480450,500.0,3474000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
FYNS KAROSSERIBYG A/S,"Teknikvej 57, 5260 Odense S",Odense,23.04.1985,47.0,Lille,Aktieselskab,75645317,500.0,19382000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
JAT BRANDE ApS,"Solbærvej 13, 7330 Brande",Ikast-Brande,25.05.1993,Ikke oplyst,Ikke oplyst,Anpartsselskab,16963682,200.0,36000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
ZENVO AUTOMOTIVE A/S,"Rosagervej 15, 4720 Præstø",Vordingborg,01.07.2007,32.0,Lille,Aktieselskab,30734971,7.95,21962000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
Alpa Cool ApS,"Bergensvej 6, 6230 Rødekro",Aabenraa,04.03.2022,1.0,Mikro,Anpartsselskab,43101862,40.0,2642000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
SH 31.12.2024 A/S,"Trafikcenter Sæby Syd 7, 9300 Sæby",Frederikshavn,26.10.1976,Ikke oplyst,Ikke oplyst,Aktieselskab,39095718,10.0,,nan,2023.0,0,0,29,,1.0,0.0,0.0
HAARBY KAROSSERI ApS,"Akkerupvej 20, 5683 Haarby",Assens,13.12.1979,18.0,Lille,Anpartsselskab,89300312,300.0,14344000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
DAN-COOL ApS,"Kertevej 25, 5560 Aarup",Assens,27.06.2008,4.0,Mikro,Anpartsselskab,31582857,125.0,2094000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
CN AGRO A/S,"N. A. Christensens Vej 15, 7900 Nykøbing M",Morsø,01.01.2002,27.0,Lille,Aktieselskab,26735769,500.0,11446000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
AVK PLAST A/S,"Øster Vedsted Vej 26 A, 6760 Ribe",Esbjerg,17.04.1985,73.0,Mellemstor,Aktieselskab,78205628,500.0,35237000.0,DKK,2024.0,1,0,29,1.0,0.0,0.0,0.0
Stroco A/S,"Energivej 3, 6800 Varde",Varde,08.07.1998,6.0,Mikro,Aktieselskab,21005134,1.008,2291000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
IKJ-DK A/S,"Bajstrupvej 8, 6200 Aabenraa",Aabenraa,11.05.2009,6.0,Mikro,Aktieselskab,32149928,500.0,2147000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
UNIPRO ApS,"Viborg Hovedvej 24, 7100 Vejle",Vejle,01.11.2005,6.0,Mikro,Anpartsselskab,29154546,128.0,2995000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
SCANVOGN ApS,"Hovedvejen 50 A, 9850 Hirtshals",Hjørring,05.10.2011,103.0,Mellemstor,Anpartsselskab,33958358,5.0,63928000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
VESTERGAARD COMPANY A/S,"Skullebjerg 31, 4000 Roskilde",Roskilde,30.11.1982,425.0,Stor,Aktieselskab,70642212,10.0,307236000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
