Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling og bearbejdning af andet glas, herunder teknisk glas",Fremstilling af andre keramiske produkter,"Fremstilling af flasker, drikkeglas mv.",Fremstilling af keramiske husholdningsartikler og pyntegenstande,Fremstilling af byggematerialer af beton,Fremstilling af cement,Fremstilling af færdigblandet beton,Fremstilling af glasfiber,Fremstilling af keramiske teglsten og gulvfliser,"Fremstilling af andre produkter af beton, cement og gips",Fremstilling af asfalt og tagpap,"Fremstilling af mursten, teglsten og byggematerialer af brændt ler",Fremstilling af byggematerialer af gips,Fremstilling af keramiske isolatorer og isoleringsdele,Formning og forarbejdning af planglas,Fremstilling af ildfaste produkter,"Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap",Fremstilling af keramiske sanitetsartikler,Fremstilling af kalk og gips,"Tilhugning, tilskæring og færdigbearbejdning af sten",Fremstilling af mørtel,Fremstilling af planglas,Fremstilling af slibemidler,Fremstilling af andre keramiske produkter til teknisk brug,Fremstilling af fibercement
NIELS JUEL PEDERSEN A/S,"Transportbuen 13, 4700 Næstved",Næstved,30.12.1975,17.0,Lille,Aktieselskab,31991218,625.0,8513000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORDERSTONE A/S,"Oldenvej 4, 3490 Kvistgård",Helsingør,05.07.2004,27.0,Lille,Aktieselskab,27970931,500.0,16989000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEDENSTED BETONVAREFABRIK ApS,"Tårup Strandpark 83, 5300 Kerteminde",Kerteminde,28.06.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29769141,125.0,-5000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scandinavian Advanced Ceramics ApS,"Baundalsvej 2, 3200 Helsinge",Gribskov,02.02.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43831488,40.0,-4000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GANDRUP ELEMENT A/S,"Teglværksvej 35, 9362 Gandrup",Aalborg,28.02.1990,84.0,Mellemstor,Aktieselskab,13972648,500.0,86982000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSG Industri A/S,"Langkær 6, 6100 Haderslev",Haderslev,30.04.2018,30.0,Lille,Aktieselskab,39528738,500.0,16429000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIBERLINE COMPOSITES A/S,"Barmstedt Alle 5, 5500 Middelfart",Middelfart,01.11.1989,136.0,Mellemstor,Aktieselskab,13639108,1.41,40196000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POUL HANSEN Import A/S,"Industriholmen 21, 2650 Hvidovre",Hvidovre,20.05.1994,Ikke oplyst,Ikke oplyst,Aktieselskab,17838636,600.0,-181000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Navwis Management ApS,"Nordvangen 28, 7173 Vonge",Vejle,10.12.2010,1.0,Mikro,Anpartsselskab,33362773,80.0,425000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REWAIR A/S,"Falckvænget 1, 4900 Nakskov",Lolland,10.04.2002,1.0,Mikro,Aktieselskab,26580501,500.0,1706000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
