Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling og bearbejdning af andet glas, herunder teknisk glas",Fremstilling af andre keramiske produkter,"Fremstilling af flasker, drikkeglas mv.",Fremstilling af keramiske husholdningsartikler og pyntegenstande,Fremstilling af byggematerialer af beton,Fremstilling af cement,Fremstilling af færdigblandet beton,Fremstilling af glasfiber,Fremstilling af keramiske teglsten og gulvfliser,"Fremstilling af andre produkter af beton, cement og gips",Fremstilling af asfalt og tagpap,"Fremstilling af mursten, teglsten og byggematerialer af brændt ler",Fremstilling af byggematerialer af gips,Fremstilling af keramiske isolatorer og isoleringsdele,Formning og forarbejdning af planglas,Fremstilling af ildfaste produkter,"Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap",Fremstilling af keramiske sanitetsartikler,Fremstilling af kalk og gips,"Tilhugning, tilskæring og færdigbearbejdning af sten",Fremstilling af mørtel,Fremstilling af planglas,Fremstilling af slibemidler,Fremstilling af andre keramiske produkter til teknisk brug,Fremstilling af fibercement
Velleruplund ApS,"Nordvejen 12, 4050 Skibby",Frederikssund,22.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43461028,40.0,-9000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dewdrop Tiles ApS,"Søndre Alle 31, 3700 Rønne",Bornholm,12.08.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41582847,40.0,-42000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S ØSTBIRK BYGNINGSINDUSTRI,"Ryvej 21, 8752 Østbirk",Horsens,30.10.1950,514.0,Stor,Aktieselskab,45557219,10.1,311595000.0,DKK,2023.0,1,1,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNOGEBÆK GLASHYTTE ApS,"Hovedgade 4, 3730 Nexø",Bornholm,01.07.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,21170232,125.0,435000.0,DKK,2023.0,0,0,23,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARKIL A/S,"Søndergård Alle 4, 6500 Vojens",Haderslev,30.04.1991,1501.0,Stor,Aktieselskab,15070544,33.0,260523000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas praefab Østervrå A/S,"Høngårdsvej 30, 9750 Østervrå",Frederikshavn,01.01.1996,43.0,Lille,Aktieselskab,19056090,500.0,46092000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simport Nordic ApS,"Sterkelsvej 22, 4700 Næstved",Næstved,19.01.2022,1.0,Mikro,Anpartsselskab,42992844,40.0,206000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copenhagenglass ApS,"Toldbodgade 4, 1253 København K",København,20.06.2017,2.0,Mikro,Anpartsselskab,38766309,50.0,512000.0,DKK,2023.0,0,0,23,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAN WEBBER DESIGN ApS,"Taastrup Hovedgade 22, 2630 Taastrup",Høje-Taastrup,29.06.2009,2.0,Mikro,Anpartsselskab,32277950,125.0,542000.0,DKK,2023.0,0,0,23,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flow Keramik ApS,"Vesterbrogade 110 kl 1, 1620 København V",København,17.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43453270,40.0,48000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILS TEGLOVERLIGGERE A/S,"Næssundvej 171, 7980 Vils",Morsø,10.12.2003,12.0,Lille,Aktieselskab,27519881,500.0,4749000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YMZ ApS,"Elbækvej 43, 8700 Horsens",Horsens,02.07.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32291015,125.0,-28000.0,DKK,2024.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heidelberg Materials Precast Denmark A/S,"Mads Clausens Vej 58, 6360 Tinglev",Aabenraa,28.10.2010,358.0,Stor,Aktieselskab,33255047,30.0,258262000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dolenco Tunnel Systems ApS,"Fredrik Bajers Vej 300, 9220 Aalborg Øst",Aalborg,02.02.2018,2.0,Mikro,Anpartsselskab,39340976,50.0,4058000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-M Sten ApS,"Maribovej 10, 4990 Sakskøbing",Guldborgsund,22.06.1992,Ikke oplyst,Ikke oplyst,Anpartsselskab,16617202,40.0,127000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RANDERS TEGL A/S,"Mineralvej 4, 9220 Aalborg Øst",Aalborg,01.10.1997,249.0,Mellemstor,Aktieselskab,20400234,9.0,-334000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.G. HANSEN & SØNNER A/S,"Odinsvej 8, 7200 Grindsted",Billund,22.05.2006,230.0,Mellemstor,Aktieselskab,29603413,10.0,92595000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knarami ApS,"Smallegade 46 2, 2000 Frederiksberg",Frederiksberg,17.01.2017,1.0,Mikro,Anpartsselskab,38344307,50.0,1196000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mie Mølgaard ApS,"Raadhusstræde 1 a, 3700 Rønne",Bornholm,01.03.2015,7.0,Mikro,Anpartsselskab,36556935,50.0,430000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stina Løvgreen Aps,"Sønderengen 130 1, 2870 Dyssegård",Gentofte,21.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,41034289,40.0,496000.0,DKK,2024.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithomex A/S,"Lervejdal 14 D, 8740 Brædstrup",Horsens,25.01.2016,1.0,Mikro,Aktieselskab,37394874,500.0,1339000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City-Beton ApS,"Baggesensvej 44, 8600 Silkeborg",Silkeborg,02.01.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40138048,50.0,105000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRIEGBAUM ApS,"Dronningborg Boulevard 1, 8930 Randers NØ",Randers,25.06.2007,6.0,Mikro,Anpartsselskab,30550382,125.0,2432000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nordic Tiles ApS,"Gl Tibberupvej 3 A, 3060 Espergærde",Helsingør,28.09.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44354489,40.0,,nan,2023.0,0,0,23,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wewers Betonproduktion Mårum A/S,"Ny Mårumvej 222, 3230 Græsted",Gribskov,01.07.2006,13.0,Lille,Aktieselskab,28654812,1.1,5150000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate Tile ApS,"Heimdalsgade 35 4, 2200 København N",København,04.04.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39469332,40.0,-10000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARHUS CEMENTVAREFABRIK A/S,"Lysholt Alle 4, 7430 Ikast",Ikast-Brande,01.05.1990,14.0,Lille,Aktieselskab,14177299,1.1,12116000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFILTEAM APS,"Fynsgade 10 A, 6400 Sønderborg",Sønderborg,10.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40933182,80.0,-8000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJELLERUP STENHUGGERI ApS,"Dæmningen 11, 8620 Kjellerup",Silkeborg,13.08.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27987273,125.0,626000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bisted Porcelæn ApS,"Banemarksvej 51, 2605 Brøndby",Brøndby,01.07.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41481099,40.0,-19000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afa Byg ApS,"Symfonivej 17, 2730 Herlev",Herlev,08.04.2022,7.0,Mikro,Anpartsselskab,43190318,40.0,,nan,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMMERUP KERAMISKE VÆRKSTED ApS,"Skovstrupvej 57, 5690 Tommerup",Assens,20.10.1999,3.0,Mikro,Anpartsselskab,24982564,448.0,2329000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light By Juul ApS,"Sæddervej 22, 4682 Tureby",Faxe,21.02.2017,1.0,Mikro,Anpartsselskab,38432354,67.0,198000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egernsund Wienerberger A/S,"H.C. Ørsteds Vej 50 C, 1879 Frederiksberg C",Frederiksberg,01.11.1986,74.0,Mellemstor,Aktieselskab,10502306,11.766,115350000.0,DKK,2023.0,1,0,23,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TS-TEGL A/S,"Ulvehøjvej 5, 8670 Låsby",Skanderborg,25.01.2002,30.0,Lille,Aktieselskab,26434548,500.0,15005000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLAS DANMARK A/S,"Fabriksparken 40, 2600 Glostrup",Glostrup,14.01.1930,420.0,Stor,Aktieselskab,10246415,20.0,79117000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLASFIBER DK ApS,"Industriskellet 3, 3540 Lynge",Allerød,30.06.2011,8.0,Mikro,Anpartsselskab,33774729,107.0,1717000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIKA DANMARK A/S,"Hirsemarken 5, 3520 Farum",Furesø,01.10.1960,76.0,Mellemstor,Aktieselskab,55188114,7.0,89477000.0,DKK,2023.0,1,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMYA A/S,"Hærvejen 58 A, 4660 Store Heddinge",Stevns,31.05.1998,9.0,Mikro,Aktieselskab,20882336,28.001,11643000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VITREX MEDICAL A/S,"Vasekær 6-8, 2730 Herlev",Herlev,01.11.1990,66.0,Mellemstor,Aktieselskab,14728732,2.252,28937000.0,DKK,2024.0,1,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFE Invest ApS,"Strandvejen 17, 4944 Fejø",Lolland,01.09.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39839075,40.0,82000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-CONSULT AGRO A/S,"Fabriksvej 8, 7800 Skive",Skive,17.08.2007,34.0,Lille,Aktieselskab,30807464,500.0,28048000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone Studio ApS,"Herlev Hovedgade 201 A, 2730 Herlev",Herlev,16.08.2019,7.0,Mikro,Anpartsselskab,40729607,40.0,5393000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARDAGH GLASS HOLMEGAARD A/S,"Glasværksvej 52, 4684 Holmegaard",Næstved,28.03.1995,346.0,Stor,Aktieselskab,18445042,60.0,19450000.0,DKK,2023.0,1,0,23,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Energi ApS,"Overdrevsvej 49, 4640 Faxe",Faxe,01.07.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14409645,230.0,-220000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kbhbyg ApS,"Solsortevej 19, 2600 Glostrup",Glostrup,01.04.2015,2.0,Mikro,Anpartsselskab,36703784,40.0,654000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SKAMOL A/S,"Hasselager Centervej 1, 8260 Viby J",Århus,22.04.1922,191.0,Mellemstor,Aktieselskab,41333715,43.095,208879000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TROLDTEKT A/S,"Sletvej 2 A, 8310 Tranbjerg J",Århus,18.12.1935,203.0,Mellemstor,Aktieselskab,45810011,3.6,194819000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BORNHOLM MØRTEL OG TRANSPORT ApS,"Skolekrogen 6, 3740 Svaneke",Bornholm,27.12.1975,3.0,Mikro,Anpartsselskab,56708219,125.0,1762000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NCC Industry A/S,"Vestermøllevej 11, 8380 Trige",Århus,17.07.2002,640.0,Stor,Aktieselskab,26708435,140.0,161806000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBN Stenhuggeri ApS,"Baldersbuen 21 B, 2640 Hedehusene",Høje-Taastrup,18.08.2017,14.0,Lille,Anpartsselskab,38869248,100.0,11658000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
US CONCRETE ApS,"Hjortsvangen 19, 7323 Give",Vejle,17.01.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,30562577,130.0,,nan,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S CARL MATZENS TEGLVÆRKER,"Havnevej 44, 6320 Egernsund",Sønderborg,10.09.1962,16.0,Lille,Aktieselskab,42125210,500.0,5060000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRO BETON ApS,"Sundvej 13, 8832 Skals",Viborg,11.09.2007,1.0,Mikro,Anpartsselskab,30822528,125.0,1570000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omegnens Stenhuggeri ApS,"Kirkebroen 46, 2650 Hvidovre",Hvidovre,13.11.2017,1.0,Mikro,Anpartsselskab,39080524,50.0,2084000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IBF BioBeton ApS,"Lysholt Alle 4, 7430 Ikast",Ikast-Brande,26.08.2021,6.0,Mikro,Anpartsselskab,42628069,3.0,-4517000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-L-N Holding ApS,"Brårupgade 18 C, 7800 Skive",Skive,06.10.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37154806,50.0,90000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TEGLVÆRKET SJÆLLAND ApS,"Teglværksvej 5, 4750 Lundby",Vordingborg,25.08.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36078618,50.0,2154000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JIIN ApS,"Stavsdalvej 13, 3760 Gudhjem",Bornholm,24.01.2019,1.0,Mikro,Anpartsselskab,40198768,40.0,330000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLASEKSPERTEN A/S,"Sprogøvej 13, 9800 Hjørring",Hjørring,31.05.2007,118.0,Mellemstor,Aktieselskab,30601998,1.0,109235000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOUSE OF COMPOSITES ApS,"Kærmindevej 2 B, 6580 Vamdrup",Kolding,20.08.2008,4.0,Mikro,Anpartsselskab,31631947,125.0,317000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Øder Sten- og Billedhuggeri ApS,"Amtsvejen 90, 3320 Skævinge",Hillerød,06.03.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,30716558,125.0,-156000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ConCreate Coating ApS,"Tilst Parkvej 201, 8381 Tilst",Århus,02.02.2021,2.0,Mikro,Anpartsselskab,42080527,40.0,1012000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEJLSTRUP ENTREPRENØRFORRETNING A/S,"Risgårdsvej 64, 9480 Løkken",Hjørring,01.06.1991,153.0,Mellemstor,Aktieselskab,15179937,510.0,101592000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Schmidt + Sonnichsen ApS,"Rønne Alle 11, 3500 Værløse",Furesø,14.08.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40713069,40.0,217000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41st Churchill ApS,"Kirkebakken 41, 8700 Horsens",Horsens,19.12.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,40108882,50.0,-11000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VARIO ApS,"Oberst Kochs Alle 21, 2770 Kastrup",Tårnby,03.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40982043,40.0,117000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLY LYKKEGAARD HOLDING ApS,"Stenvænget 9, 7400 Herning",Herning,01.05.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25352882,125.0,6000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
