Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Smedning og valsning af metal samt pulvermetallurgi,Maskinforarbejdning af metal,Fremstilling af håndværktøj,Fremstilling af andre færdige metalprodukter i.a.n.,Overfladebehandling af metal,Fremstilling af metalkonstruktioner og dele heraf,Fremstilling af døre og vinduer af metal,Fremstilling af andre tanke og beholdere af metal,Fremstilling af våben og ammunition,Fremstilling af låse og hængsler,"Fremstilling af bestik, skære- og klipperedskaber","Fremstilling af trådvarer, kæder og fjedre","Fremstilling af lukkeanordninger, bolte, skruer og møtrikker",Fremstilling af metaltønder og lignende beholdere,Fremstilling af letmetalemballage,Varmebehandling af metal,"Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg"
BODYCOTE VARMEBEHANDLING A/S,"Industribuen 16-18, 5592 Ejby",Middelfart,22.06.1964,50.0,Mellemstor,Aktieselskab,16261513,13.0,84922000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELDAN RECYCLING A/S,"Værkmestervej 4, 5600 Faaborg",Faaborg-Midtfyn,01.05.1990,115.0,Mellemstor,Aktieselskab,14125388,12.0,166053000.0,DKK,2023.0,1,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARMI A/S,"Kokkedal Industripark 106, 2980 Kokkedal",Fredensborg,12.11.1975,8.0,Mikro,Aktieselskab,66042413,500.0,3952000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TelecomSteel A/S,"Kaltoftevej 13, 7000 Fredericia",Fredericia,20.01.2021,Ikke oplyst,Ikke oplyst,Aktieselskab,42044660,400.0,270000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MME Industri ApS,"Søndergade 6, 5800 Nyborg",Nyborg,10.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43769553,40.0,2000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Litsen ApS,"Pantonevej 4, 6580 Vamdrup",Kolding,29.06.2016,2.0,Mikro,Anpartsselskab,37837377,63.0,17182000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK STÅL ApS,"Tørveskæret 17, 8800 Viborg",Viborg,12.03.2008,39.0,Lille,Anpartsselskab,31326664,125.0,8911000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH Pladeteknik ApS,"Industrivej 20, 7490 Aulum",Herning,02.01.2023,1.0,Mikro,Anpartsselskab,43745786,42.0,566000.0,DKK,2024.0,1,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.S.R. Metaltrykkeri ApS,"Landerslevvej 60, 3630 Jægerspris",Frederikssund,02.10.2019,2.0,Mikro,Anpartsselskab,40842799,40.0,1160000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFILMESTER ApS,"Sandøvej 8, 8700 Horsens",Horsens,08.07.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35400427,80.0,122000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pro-Staal ApS,"Alstrup Strandvej 2 B, 4840 Nørre Alslev",Guldborgsund,01.05.2020,4.0,Mikro,Anpartsselskab,41331089,40.0,3305000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCO MARINE A/S,"Højvangen 2, 3480 Fredensborg",Fredensborg,17.05.1993,7.0,Mikro,Aktieselskab,17076744,450.0,8756000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InMetal a/s,"Mimersvej 9, 8722 Hedensted",Hedensted,10.03.2008,35.0,Lille,Aktieselskab,31286557,400.0,14176000.0,DKK,2023.0,1,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Stainless Solution A/S,"Langagervej 9, 4400 Kalundborg",Kalundborg,09.09.2022,64.0,Mellemstor,Aktieselskab,43514164,1.0,82414000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAS.DK ApS,"Gl Kolding Landevej 20, 7100 Vejle",Vejle,02.12.2019,12.0,Lille,Anpartsselskab,41004002,50.0,2504000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederiks smede og montage A/S,"Nyrupvej 2 B, 7470 Karup J",Viborg,07.01.2005,25.0,Lille,Aktieselskab,28318286,510.0,14223000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BØSSEMAGER KORSHOLM A/S,"Jægervej 5, 6900 Skjern",Ringkøbing-Skjern,12.05.1972,29.0,Lille,Aktieselskab,41812516,600.0,10655000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCN Montage ApS,"Skovbyvej 19, 2740 Skovlunde",Ballerup,28.08.2022,1.0,Mikro,Anpartsselskab,43473581,40.0,292000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENCKER A/S,"Færøvej 2, 7900 Nykøbing M",Morsø,27.06.2003,66.0,Mellemstor,Aktieselskab,27275176,500.0,35610000.0,DKK,2024.0,1,1,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RØN PETERSEN ApS,"Blytækkervej 6, 8800 Viborg",Viborg,11.09.2012,14.0,Lille,Anpartsselskab,34700923,80.0,5072000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THYHOLM OLIESERVICE A/S,"Suurkjærvej 6, 7790 Thyholm",Struer,25.06.2003,17.0,Lille,Aktieselskab,27234496,500.0,10047000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lås og Slå Tyverisikring ApS,"Viborgvej 219, 7840 Højslev",Skive,30.06.2023,5.0,Mikro,Anpartsselskab,44151820,40.0,1970000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINSØ A/S,"Håndværkervej 22 B, 6261 Bredebro",Tønder,08.10.2013,35.0,Lille,Aktieselskab,35515739,1.0,19431000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTZ & LARSEN RIFFEL KOMPAGNI ApS,"Agerbakken 17, 8362 Hørning",Skanderborg,14.10.2010,1.0,Mikro,Anpartsselskab,33246269,90.0,2590000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM INDUSTRI A/S,"Bredstrupvej 50, 8500 Grenaa",Norddjurs,25.09.1979,193.0,Mellemstor,Aktieselskab,88015428,500.0,118801000.0,DKK,2024.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENOKA A/S,"Mads Bjerres Vej 6, 7500 Holstebro",Holstebro,02.10.1982,12.0,Lille,Aktieselskab,27660517,1.0,2350000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANCROM A/S,"Edwin Rahrs Vej 78, 8220 Brabrand",Århus,19.03.2008,4.0,Mikro,Aktieselskab,30508807,501.0,1917000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strømsted Stål og Fjernvarme A/S,"A.P. Møllers Allé 9 B, 2791 Dragør",Tårnby,28.09.2021,44.0,Lille,Aktieselskab,42717231,400.0,22529000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO20.DK ApS,"Skravevej 20, 6630 Rødding",Vejen,25.02.2009,2.0,Mikro,Anpartsselskab,32069118,125.0,499000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANFLEX-STEEL ApS,"Ole Rømers Vej 9, 8670 Låsby",Skanderborg,26.11.2005,1.0,Mikro,Anpartsselskab,29188033,125.0,764000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Stål & Montage ApS,"Smedegade 9, 7260 Sønder Omme",Billund,19.04.2018,2.0,Mikro,Anpartsselskab,39499495,50.0,1641000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conrads ApS,"Uglbjergvej 15 B, 6900 Skjern",Ringkøbing-Skjern,03.12.2018,3.0,Mikro,Anpartsselskab,40066020,40.0,3772000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFFIR ApS,"Anebjergvej 7, 8600 Silkeborg",Silkeborg,09.01.2014,2.0,Mikro,Anpartsselskab,35636633,56.0,1950000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LESJÖFORS A/S,"Ringager 9-11, 2605 Brøndby",Brøndby,21.12.2001,48.0,Lille,Aktieselskab,26376521,1.503,39061000.0,DKK,2023.0,1,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SIMIK ApS,"Værkstedsvej 7, 4230 Skælskør",Slagelse,13.06.2012,21.0,Lille,Anpartsselskab,34592055,80.0,10232000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NØRGAARD TEKNIK A/S,"Nørgaardsvej 5, 8963 Auning",Norddjurs,13.06.1996,74.0,Mellemstor,Aktieselskab,19372731,500.0,33452000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sønderjysk Låseteknik ApS,"Bomhusvej 13, 6300 Gråsten",Sønderborg,08.07.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36957352,50.0,67000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB CON ApS,"Niels Bohrs Vej 41, 8660 Skanderborg",Skanderborg,23.06.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32269680,125.0,-5000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMACOAT A/S,"Huginsvej 4, 7200 Grindsted",Billund,02.12.2009,14.0,Lille,Aktieselskab,32646433,500.0,8155000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab Aluminium A/S,"Pantervej 7, 7700 Thisted",Thisted,18.12.1975,47.0,Lille,Aktieselskab,56337415,520.0,24222000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGI ApS,"Måde Engvej 4, 6700 Esbjerg",Esbjerg,19.04.2001,3.0,Mikro,Anpartsselskab,26004489,125.0,2927000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANIA SERVICECENTER ApS,"Odensevej 18, 5772 Kværndrup",Faaborg-Midtfyn,01.01.2008,3.0,Mikro,Anpartsselskab,31252083,125.0,779000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASERMAN ApS,"Sintrupvej 2, 8220 Brabrand",Århus,14.06.2000,5.0,Mikro,Anpartsselskab,10026512,125.0,3136000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODENSE SMEDE- OG MASKINVÆRKSTED ApS,"Herluf Trolles Vej 38, 5220 Odense SØ",Odense,03.07.1996,2.0,Mikro,Anpartsselskab,19368734,125.0,389000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORM TEKNIK ApS,"Gl Fjellerupvej 17, 8961 Allingåbro",Norddjurs,01.04.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32141560,125.0,43000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRK STÅL A/S,"Industriparken 14, 7400 Herning",Herning,14.02.2003,15.0,Lille,Aktieselskab,27016634,800.0,11306000.0,DKK,2024.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T. JACOBSENS MASKINFABRIK ApS,"Industrivej 4 B, 5592 Ejby",Middelfart,26.11.1990,5.0,Mikro,Anpartsselskab,14718583,200.0,195000.0,DKK,2024.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALERMESTRE CHR. BLEGVAD & CO A/S,"Blomstervej 70, 8381 Tilst",Århus,27.06.1985,25.0,Lille,Aktieselskab,78753528,1.0,8391000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danish Mobility System ApS,"Kronprinsessegade 8, 1306 København K",København,10.05.2017,5.0,Mikro,Anpartsselskab,38647725,88.0,903000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindø Steel Welding A/S,"Lindø Østvej 5, 5330 Munkebo",Kerteminde,31.01.2012,34.0,Lille,Aktieselskab,34220190,1.0,17010000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETER LARSEN KAFFE A/S,"Ærøvej 15-17, 8800 Viborg",Viborg,17.01.1948,64.0,Mellemstor,Aktieselskab,45667219,1.2,22469000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LN-UNOCO A/S,"Søndre Ringvej 55, 2605 Brøndby",Brøndby,29.10.2003,31.0,Lille,Aktieselskab,27419402,5.7,8182000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUNDLOCK ApS,"Knudrisgade 39 st, 8000 Aarhus C",Århus,21.10.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39958376,40.0,96000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM-RACK ApS,"Gl. Silkeborgvej 33, 8920 Randers NV",Randers,23.06.2006,7.0,Mikro,Anpartsselskab,27524982,125.0,4005000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fjelsø Indoor A/S,"Testrupvej 5, 9620 Aalestrup",Vesthimmerland,19.12.2001,Ikke oplyst,Ikke oplyst,Aktieselskab,26389135,500.0,-92000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KELD PETERSEN ApS,"Højeloft Vænge 114, 3500 Værløse",Furesø,14.05.1993,Ikke oplyst,Ikke oplyst,Anpartsselskab,17098381,200.0,-25000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Construction ApS,"Strædet 7, 4241 Vemmelev",Slagelse,13.03.2020,1.0,Mikro,Anpartsselskab,41251409,40.0,287000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAUGAARD COMPANY A/S,"Emmelevvej 39, 5450 Otterup",Nordfyns,29.03.2007,17.0,Lille,Aktieselskab,30489845,1.0,10822000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HT TEKNIK ApS,"Trellemarksvej 6, 4760 Vordingborg",Vordingborg,29.06.2012,4.0,Mikro,Anpartsselskab,32323979,80.0,53000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUDOOR ApS,"Mejlskovvej 13, 5400 Bogense",Nordfyns,28.04.2014,1.0,Mikro,Anpartsselskab,35846913,50.0,228000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELØ ApS,"Sivkrovej 9, 6240 Løgumkloster",Tønder,23.09.1974,Ikke oplyst,Ikke oplyst,Anpartsselskab,49890818,500.0,498000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEEL ApS,"Marienlystvej 25, 4900 Nakskov",Lolland,16.05.2011,28.0,Lille,Anpartsselskab,33649444,80.0,18161000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JENS LAURITSEN EFTF. ApS,"Bavnehøj 225, 6040 Egtved",Vejle,05.10.2005,14.0,Lille,Anpartsselskab,29134901,125.0,6889000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSM:STEEL CONSTRUCTION ApS,"Fjerritslevvej 5, 9670 Løgstør",Vesthimmerland,22.08.2013,19.0,Lille,Anpartsselskab,35418334,400.0,7290000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK INDUSTRI COATING ApS,"Dalager 4, 2605 Brøndby",Brøndby,18.12.1975,1.0,Mikro,Anpartsselskab,13202028,50.0,669000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPANITE TECHNOLOGY A/S,"Industrivænget 34, 3400 Hillerød",Hillerød,29.04.2010,Ikke oplyst,Ikke oplyst,Aktieselskab,32890326,2.495,-379000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZINKPOWER Holstebro A/S,"Skivevej 170, 7500 Holstebro",Holstebro,29.08.1979,87.0,Mellemstor,Aktieselskab,86986213,1.0,48620000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDTURN MASKINFABRIK ApS,"Ingeborg Skeels Vej 51, 9330 Dronninglund",Brønderslev-Dronninglund,18.08.2011,27.0,Lille,Anpartsselskab,33870752,80.0,17494000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOLSTRUP MASKINFABRIK ApS,"Østre Ringvej 30, 5750 Ringe",Faaborg-Midtfyn,01.11.2000,11.0,Lille,Anpartsselskab,25733673,125.0,9038000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smedekompagniet ApS,"Yderholmen 9, 2750 Ballerup",Ballerup,25.03.2022,1.0,Mikro,Anpartsselskab,43155571,40.0,465000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravnsgaard Metal A/S,"Alsvej 12, 8940 Randers SV",Randers,19.04.2023,55.0,Mellemstor,Aktieselskab,43997424,1.064,13775000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH Fundering- og Certifikatsvejsning ApS,"Hellesøvej 23, 6430 Nordborg",Sønderborg,02.03.2019,2.0,Mikro,Anpartsselskab,40305106,40.0,541000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLA HANSEN A/S,"Smedesvinget 15, 6880 Tarm",Ringkøbing-Skjern,01.07.1985,68.0,Mellemstor,Aktieselskab,78810319,980.0,21663000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYNKEBY MASKINFABRIK A/S,"Rynkebyvej 238, 5350 Rynkeby",Kerteminde,06.04.1972,43.0,Lille,Aktieselskab,39071118,800.0,29074000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMF Industries A/S,"Højager 90, 5270 Odense N",Odense,13.12.1972,64.0,Mellemstor,Aktieselskab,41089814,1.0,37111000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK STÅLPLADE TEKNIK A/S,"Industrileddet 7, 4000 Roskilde",Roskilde,21.10.1975,10.0,Lille,Aktieselskab,35955216,500.0,5267000.0,DKK,2024.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFTLUND MASKINFABRIK A/S,"Gøttrupvej 17, 6520 Toftlund",Tønder,01.10.1990,32.0,Lille,Aktieselskab,14525076,550.0,13179000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonto ApS,"Klinkvej 46, 6623 Vorbasse",Billund,29.03.2021,1.0,Mikro,Anpartsselskab,42265578,60.0,227000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.P. PRODUCTION. GRINDSTED ApS,"Timlundvej 41, 7270 Stakroge",Herning,01.01.1990,3.0,Mikro,Anpartsselskab,13930775,200.0,71000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-ENGINEERING ApS,"Marsalle 38 A, 8700 Horsens",Horsens,05.10.2011,2.0,Mikro,Anpartsselskab,33958188,80.0,3286000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIMPRO A/S,"Gørtlervej 1, 6600 Vejen",Vejen,09.12.1975,15.0,Lille,Aktieselskab,45049310,5.83,4405000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYSK OVERFLADE TEKNIK A/S,"Tværgade 3, 6330 Padborg",Aabenraa,07.05.2017,Ikke oplyst,Ikke oplyst,Aktieselskab,38624881,500.0,-10000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breinegaard Teknik ApS,"Smedevænget 2, 7000 Fredericia",Fredericia,03.06.2016,5.0,Mikro,Anpartsselskab,37800686,250.0,893000.0,DKK,2024.0,1,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
