Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Smedning og valsning af metal samt pulvermetallurgi,Maskinforarbejdning af metal,Fremstilling af håndværktøj,Fremstilling af andre færdige metalprodukter i.a.n.,Overfladebehandling af metal,Fremstilling af metalkonstruktioner og dele heraf,Fremstilling af døre og vinduer af metal,Fremstilling af andre tanke og beholdere af metal,Fremstilling af våben og ammunition,Fremstilling af låse og hængsler,"Fremstilling af bestik, skære- og klipperedskaber","Fremstilling af trådvarer, kæder og fjedre","Fremstilling af lukkeanordninger, bolte, skruer og møtrikker",Fremstilling af metaltønder og lignende beholdere,Fremstilling af letmetalemballage,Varmebehandling af metal,"Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg"
Danammo ApS,"Strandvejen 433 kl, 2930 Klampenborg",Lyngby-Taarbæk,27.06.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44141809,40.0,,nan,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KILDEMOSEN SMEDIE & MASKINFABRIK ApS,"Kildemosen 1, 4200 Slagelse",Slagelse,27.03.2006,40.0,Lille,Anpartsselskab,29425809,125.0,28525000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JKF INDUSTRI A/S,"Rørsangervej 5, 9560 Hadsund",Mariagerfjord,08.06.1993,179.0,Mellemstor,Aktieselskab,17085204,18.037,103361000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARL C. A/S,"Smedevej 2, 6900 Skjern",Ringkøbing-Skjern,08.11.1986,58.0,Mellemstor,Aktieselskab,10449871,10.0,32922000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ÅLSRODE SMEDE- OG MASKINFABRIK A/S,"Fabrikvej 9, 8500 Grenaa",Norddjurs,03.06.2008,64.0,Mellemstor,Aktieselskab,31483646,1.0,15298000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOUGAARD & KOEFOED A/S,"Svalehøjvej 17, 3650 Ølstykke",Egedal,25.05.1983,4.0,Mikro,Aktieselskab,73192714,1.08,12611000.0,DKK,2024.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAULSENS MASKINFABRIK ApS,"Stenskovvej 37, 4684 Holmegaard",Næstved,17.06.1977,2.0,Mikro,Anpartsselskab,81233411,201.0,2939000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hem Steel A/S,"Bjørnevej 4, 7800 Skive",Skive,01.04.2020,38.0,Lille,Aktieselskab,41270675,444.0,20291000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVM A/S,"Drejervej 1, 7451 Sunds",Herning,01.08.1992,41.0,Lille,Aktieselskab,16314587,1.0,25783000.0,DKK,2023.0,1,1,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S TOBIAS JENSEN PRODUCTION,"Metalgangen 9 C st, 2690 Karlslunde",Greve,26.03.1990,5.0,Mikro,Aktieselskab,14006249,500.0,3083000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fazade A/S,"Ørnumvej 10, 4220 Korsør",Slagelse,16.03.2017,56.0,Mellemstor,Aktieselskab,38496190,2.3,31657000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C. E. ANDERSEN A/S,"Søvej 1, 4900 Nakskov",Lolland,01.06.1990,42.0,Lille,Aktieselskab,14425977,500.0,24841000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLSTEBRO SMEDEVÆRKSTED ApS,"Nørskovvej 10, 7490 Aulum",Herning,26.08.2014,1.0,Mikro,Anpartsselskab,36074523,50.0,213000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V. HAURE SERVICE OG SMEDEARBEJDE ApS,"Sandbyparkvej 2, 4171 Glumsø",Næstved,01.01.2002,1.0,Mikro,Anpartsselskab,26407664,125.0,526000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STÅLPRO ApS,"Søndre Molsvej 24, 8420 Knebel",Syddjurs,01.08.2004,1.0,Mikro,Anpartsselskab,28107625,125.0,466000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LØSNING MASKINFABRIK A/S,"Remmerslundvej 55, 8723 Løsning",Hedensted,07.06.2001,16.0,Lille,Aktieselskab,26095336,500.0,10528000.0,DKK,2023.0,1,1,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEMMELEV STÅLINDUSTRI A/S,"Industrivej 7, 4241 Vemmelev",Slagelse,01.01.1998,9.0,Mikro,Aktieselskab,20708441,625.0,7243000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJV TOOLING A/S,"Fuglevangsvej 59, 8700 Horsens",Horsens,01.09.1996,14.0,Lille,Aktieselskab,19519295,1.042,4213000.0,DKK,2024.0,1,1,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOLLERUP SMEDELAND A/S,"Vollerup Møllevej 5, 6392 Bolderslev",Aabenraa,19.03.1997,21.0,Lille,Aktieselskab,19925390,500.0,11422000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MF, STIGE HOLDING ApS","Stigevej 258, 5270 Odense N",Odense,26.06.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31581265,125.0,-20000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEMVIG AUTOLAKERERI ApS,"Transportvej 4, 7620 Lemvig",Lemvig,01.09.1998,10.0,Lille,Anpartsselskab,21112089,188.0,4953000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FYNS KRAN UDSTYR A/S,"Brændekildevej 37, 5250 Odense SV",Odense,16.09.2004,110.0,Mellemstor,Aktieselskab,28109539,5.0,82198000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARNDRUP MASKINFABRIK ApS,"Stengade 1, 5463 Harndrup",Middelfart,08.06.1999,3.0,Mikro,Anpartsselskab,24211746,500.0,1496000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEDREX A/S,"Knud Højgaards Vej 9, 2860 Søborg",Gladsaxe,01.01.1991,1.0,Mikro,Aktieselskab,15067985,500.0,6530000.0,DKK,2024.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREMTIDEN STALDINVENTAR A/S,"Rypevej 4, 8870 Langå",Favrskov,01.05.1989,24.0,Lille,Aktieselskab,13118590,775.0,7046000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Rossen ApS,"Hørmarken 8, 6400 Sønderborg",Sønderborg,30.06.2022,2.0,Mikro,Anpartsselskab,43373676,40.0,540000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANLAK BALLING A/S,"Ørnevej 10, 7860 Spøttrup",Skive,29.03.1985,50.0,Mellemstor,Aktieselskab,77768211,500.0,6214000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERNING TRAPPER & KLEINSMEDIE ApS,"Kæret 11, 7400 Herning",Herning,08.05.2014,20.0,Lille,Anpartsselskab,35846301,800.0,5788000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC SMEDE A/S,"Industrivej 44, 7080 Børkop",Vejle,24.09.2004,65.0,Mellemstor,Aktieselskab,28115997,500.0,24763000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOWIS INDUSTRILAKERING A/S,"Avedøreholmen 52, 2650 Hvidovre",Hvidovre,28.06.1996,16.0,Lille,Aktieselskab,19420280,500.0,1807000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSP Teknik ApS,"Hovej 17 B, 6857 Blåvand",Varde,13.04.2019,1.0,Mikro,Anpartsselskab,40465979,50.0,662000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIRTSHALS SKIBS- OG INDUSTRISERVICE ApS,"Nordvestkajen 31, 9850 Hirtshals",Hjørring,01.10.2011,7.0,Mikro,Anpartsselskab,33955189,80.0,2653000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORSKOV YARD A/S,"Havnepladsen 16, 9900 Frederikshavn",Frederikshavn,16.05.2002,273.0,Stor,Aktieselskab,26694027,5.0,300390000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE SANDBLÆSNING ApS,"Damhusvej 31, 9830 Tårs",Hjørring,17.09.1992,3.0,Mikro,Anpartsselskab,16391093,80.0,1850000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRICT DESIGN ApS,"Ålborggade 5 1, 2100 København Ø",København,05.06.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,29820244,125.0,591000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopold part ApS,"Industrivej 7, 6580 Vamdrup",Kolding,25.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40957960,100.0,-125000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLYCSP ApS,"Møllegade 21, 9750 Østervrå",Frederikshavn,21.12.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34893314,80.0,478000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tecotek ApS,"Murervangen 41, 2600 Glostrup",Glostrup,30.06.2016,10.0,Lille,Anpartsselskab,37836966,50.0,3171000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMS Holding 2018 ApS,"Textilvænget 7, 9560 Hadsund",Mariagerfjord,23.03.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29422540,125.0,478000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flys Smede og Rørteknik ApS,"Hedevej 28, 9575 Terndrup",Rebild,08.04.2020,3.0,Mikro,Anpartsselskab,41287365,40.0,793000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Special Håndværk ApS,"Søgade 26, 9340 Asaa",Brønderslev-Dronninglund,08.11.2019,1.0,Mikro,Anpartsselskab,40951377,40.0,918000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSK STÅLINDUSTRI A/S,"Industrivej 7, 7700 Thisted",Thisted,21.07.1997,231.0,Mellemstor,Aktieselskab,20216883,8.125,423211000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORMAX DANMARK A/S,"Hjortsvangen 36, 7323 Give",Vejle,23.07.1975,116.0,Mellemstor,Aktieselskab,52781612,590.0,46746000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMEDEMESTER KIM NORUP ANDERSEN ApS,"Stentoftevej 42, 2650 Hvidovre",Hvidovre,19.05.2008,1.0,Mikro,Anpartsselskab,31471559,125.0,506000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKLARBAK DEFENSE ApS,"Ølandvej 2, 9460 Brovst",Jammerbugt,17.12.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34888116,80.0,,nan,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOOLCON ApS,"Fynsvej 7, 4200 Slagelse",Slagelse,19.12.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,31169194,125.0,229000.0,DKK,2023.0,1,0,25,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIVAL MASKINVÆRKSTED ApS,"Bergsøesvej 10, 8600 Silkeborg",Silkeborg,28.06.2011,11.0,Lille,Anpartsselskab,33770308,80.0,5195000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSVT Smede og Montage ApS,"Bjørnstrupvej 36, 9600 Aars",Vesthimmerland,14.06.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39649322,50.0,-11000.0,DKK,2023.0,0,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TECNOMATIC OVERFLADEBEHANDLING A/S,"Stæremosen 22-24, 3250 Gilleleje",Gribskov,01.01.1995,1.0,Mikro,Aktieselskab,18281309,500.0,701000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smedelab ApS,"Bjerringbrovej 52, 2610 Rødovre",Rødovre,28.12.2021,2.0,Mikro,Anpartsselskab,42933813,40.0,1153000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
