Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
Form og Frys Technic A/S,"Ærøvej 6, 9500 Hobro",Mariagerfjord,17.11.1983,36.0,Lille,Aktieselskab,73506816,900.0,16335000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BoVo ApS,"Stadilvej 17, 6980 Tim",Ringkøbing-Skjern,04.02.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37437328,125.0,-175000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMMELSKOV SERVICE TEKNIK ApS,"Vestagervej 7, 6534 Agerskov",Tønder,08.03.2013,7.0,Mikro,Anpartsselskab,35141359,80.0,2671000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STJERNHOLM A/S,"Langelandsvej 4 A, 8940 Randers SV",Randers,23.06.2005,29.0,Lille,Aktieselskab,28884966,500.0,18886000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROTA A/S,"Vesterlundvej 22, 2730 Herlev",Herlev,30.09.2003,10.0,Lille,Aktieselskab,27373739,500.0,11172000.0,DKK,2024.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANWILL FLUID POWER ApS,"Hassellunden 14, 2765 Smørum",Egedal,19.01.2001,5.0,Mikro,Anpartsselskab,25865316,145.0,5590000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBT CONSULT ApS,"Nørremarksvej 9, 8700 Horsens",Horsens,05.08.2013,3.0,Mikro,Anpartsselskab,35409327,80.0,2820000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solveon ApS,"Vinkelvej 7, 2670 Greve",Greve,30.05.2024,1.0,Mikro,Anpartsselskab,44866595,40.0,1034000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANFOSS POWER SOLUTIONS ApS,"Nordborgvej 81, 6430 Nordborg",Sønderborg,01.01.2001,1085.0,Stor,Anpartsselskab,25814363,231.0,771419000.0,DKK,2023.0,1,1,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP ENERGY ApS,"Nordborgvej 81, 6430 Nordborg",Sønderborg,01.09.2003,Ikke oplyst,Ikke oplyst,Anpartsselskab,27334776,253.0,-47000.0,DKK,2023.0,0,0,28,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pres-Vac Engineering A/S,"Svanevang 3, 3450 Allerød",Allerød,13.11.1997,33.0,Lille,Aktieselskab,20545739,5.5,36529000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEAGAIN Inno ApS,"Willemoesvej 2, 9850 Hirtshals",Hjørring,21.12.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,34093342,80.0,-838000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EME Hydraulic ApS,"Ellegårdvej 1 A, 6400 Sønderborg",Sønderborg,12.09.2016,14.0,Lille,Anpartsselskab,38002627,51.0,6930000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELPIJI (DENMARK) ApS,"Hårbøllevej 32, 4792 Askeby",Vordingborg,01.07.2002,1.0,Mikro,Anpartsselskab,26693004,125.0,33000.0,DKK,2023.0,0,0,28,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUMSENS MASKINFABRIK A/S,"Morsøgade 5, 6700 Esbjerg",Esbjerg,29.01.1992,43.0,Lille,Aktieselskab,15902442,2.0,25738000.0,DKK,2023.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYTECH A/S,"Østermarksvej 73, 7250 Hejnsvig",Billund,01.07.1997,25.0,Lille,Aktieselskab,20198370,833.0,17434000.0,DKK,2024.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O R VENTILATIONSTEKNIK A/S,"Bakketoften 26, 8541 Skødstrup",Århus,28.03.2006,8.0,Mikro,Aktieselskab,29518254,500.0,7397000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIMODAN A/S,"Skimmedevej 10, 4390 Vipperød",Holbæk,24.02.2010,56.0,Mellemstor,Aktieselskab,32776353,1.0,32121000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS AUTOMATIC A/S,"Ormhøjgårdvej 15, 8700 Horsens",Horsens,22.12.1998,119.0,Mellemstor,Aktieselskab,21381802,1.397,60858000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHUR AUTOMATION A/S,"Fuglevangsvej 41, 8700 Horsens",Horsens,07.06.1985,107.0,Mellemstor,Aktieselskab,78482915,1.1,53406000.0,DKK,2023.0,1,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH CLEAN WATER A/S,"Nørrekobbel 11, 6400 Sønderborg",Sønderborg,04.03.2008,10.0,Lille,Aktieselskab,31283345,3.448,1165000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIEBES MASKINFABRIK AF 2005 A/S,"Smedegade 4, 6000 Kolding",Kolding,14.07.2005,7.0,Mikro,Aktieselskab,28896638,500.0,1774000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUBD ApS,"Stamholmen 149 st tv, 2650 Hvidovre",Hvidovre,15.08.2020,4.0,Mikro,Anpartsselskab,41595574,53.0,-561000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randers Gears A/S,"Haraldsvej 19, 8960 Randers SØ",Randers,03.08.2015,41.0,Lille,Aktieselskab,36985399,5.0,22578000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FALCON LIFTS A/S,"Tolderlundsvej 106, 5000 Odense C",Odense,24.08.2011,21.0,Lille,Aktieselskab,33873379,6.444,7927000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holger Madsen ApS,"Galsthovej 14, 7200 Grindsted",Billund,22.05.1997,2.0,Mikro,Anpartsselskab,20053232,40.0,1439000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMV MASKINTEKNIK ApS,"Åvej 12, 9700 Brønderslev",Brønderslev-Dronninglund,21.02.2008,1.0,Mikro,Anpartsselskab,31271290,125.0,437000.0,DKK,2023.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUNKEBO CLEMCO A/S,"Smedeløkken 5-7, 5330 Munkebo",Kerteminde,28.03.1996,26.0,Lille,Aktieselskab,19202305,830.0,17428000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpaceInvader ApS,"Danneskiold-Samsøes Allé 41, 1434 København K",København,26.08.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37033634,87.0,-853000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TECHVIA A/S,"Mølbakvej 5, 8520 Lystrup",Århus,01.10.2003,15.0,Lille,Aktieselskab,27372392,400.0,12064000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRODUKTIONSTEKNIK ApS,"Hans Egedes Vej 14, 5210 Odense NV",Odense,12.01.1993,20.0,Lille,Anpartsselskab,16931780,200.0,5768000.0,DKK,2024.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDICREBAR ApS,"Skovkærvej 20 B, 7321 Gadbjerg",Vejle,21.01.2011,10.0,Lille,Anpartsselskab,33492766,80.0,10016000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPJT Environment ApS,"Fabriksvænget 8, 4130 Viby Sjælland",Roskilde,30.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42506990,40.0,-13000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W ApS,"Elmevej 3, 5800 Nyborg",Nyborg,23.10.2014,3.0,Mikro,Anpartsselskab,36426853,50.0,1449000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Extrusion Technology ApS,"Højmarken 18, 5492 Vissenbjerg",Assens,20.09.2021,2.0,Mikro,Anpartsselskab,42713619,1.04,937000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLENA HIGH-PRESSURE SYSTEMS A/S,"Thorsvej 1, 6862 Tistrup",Varde,20.12.1994,14.0,Lille,Aktieselskab,18271591,1.0,6711000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H S KIRK ApS,"Fasanvej 9, 8723 Løsning",Hedensted,21.03.2001,1.0,Mikro,Anpartsselskab,25970950,125.0,325000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DANISH CANDLE MACHINERY ApS,"Gedhusvej 6, 7451 Sunds",Herning,26.03.1997,1.0,Mikro,Anpartsselskab,19970337,50.0,847000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUUS KØLE-SERVICE ApS,"N. A. Christensens Vej 35, 7900 Nykøbing M",Morsø,23.06.1998,20.0,Lille,Anpartsselskab,20949090,200.0,13211000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDFA TEKNIK A/S,"Ildfuglevænget 82, 5260 Odense S",Odense,12.08.1997,1.0,Mikro,Aktieselskab,20256435,500.0,644000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D LASERCUT APS,"L. Frandsensvej 4, 5600 Faaborg",Faaborg-Midtfyn,07.02.2011,8.0,Mikro,Anpartsselskab,32322425,80.0,3295000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNION ENGINEERING A/S,"Snaremosevej 27, 7000 Fredericia",Fredericia,05.12.1989,104.0,Mellemstor,Aktieselskab,13827540,10.0,87143000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fugtkontrol ApS,"Norgesvej 1 st, 4200 Slagelse",Slagelse,03.05.2022,1.0,Mikro,Anpartsselskab,43239929,40.0,2178000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JW Industri A/S,"Smedevej 7, 7430 Ikast",Ikast-Brande,13.02.2015,43.0,Lille,Aktieselskab,36540982,500.0,21511000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyvehavren ApS,"Østerbrogade 12 1, 7500 Holstebro",Holstebro,20.12.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38273426,50.0,-61000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpa Cool ApS,"Bergensvej 6, 6230 Rødekro",Aabenraa,04.03.2022,1.0,Mikro,Anpartsselskab,43101862,40.0,2642000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANOMAT A/S,"Vibe Alle 3, 2980 Kokkedal",Fredensborg,01.05.1997,78.0,Mellemstor,Aktieselskab,20050535,10.0,79897000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordjysk Projektteknik ApS,"Marklund 12, 9900 Frederikshavn",Frederikshavn,02.01.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,31893399,125.0,-2000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nexo Air ApS,"Klintholmvej 34, 5500 Middelfart",Middelfart,12.08.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35411445,80.0,-49000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrationsselskabet af 27. januar 2023 ApS,"Østager 2, 6400 Sønderborg",Sønderborg,28.02.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39369990,40.0,-49000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROTEC PRODUCTION ApS,"Bygmarken 5, 3520 Farum",Furesø,11.02.2005,14.0,Lille,Anpartsselskab,28489927,125.0,8316000.0,DKK,2023.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2LIFT ApS,"Nordrupvej 65, 4200 Slagelse",Slagelse,06.05.2008,12.0,Lille,Anpartsselskab,31420377,278.0,10730000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIND JENSENS MASKINFABRIK A/S,"Kroghusvej 7-9, 6940 Lem St",Ringkøbing-Skjern,27.06.1975,198.0,Mellemstor,Aktieselskab,52994918,1.0,115660000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BechH ApS,"Gasværksvej 30 G, 9000 Aalborg",Aalborg,08.11.2019,35.0,Lille,Anpartsselskab,40934154,100.0,15853000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUBIQA PL ApS,"Morsøgade 10, 6700 Esbjerg",Esbjerg,19.03.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41260432,40.0,117000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAASS & CO. A/S,"Skavholmvej 3 B, 8520 Lystrup",Århus,01.05.1990,3.0,Mikro,Aktieselskab,14119108,500.0,803000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREBBIEN TEKNIK ApS,"Engdalen 20, 8500 Grenaa",Norddjurs,17.06.2010,2.0,Mikro,Anpartsselskab,33036264,80.0,1356000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH CRANE BUILDING A/S,"Østerlandsvej 2, 9240 Nibe",Aalborg,01.12.1991,89.0,Mellemstor,Aktieselskab,15694130,15.917,70282000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRC VENTILATION ApS,"Byvangen 121, 4200 Slagelse",Slagelse,27.06.2005,1.0,Mikro,Anpartsselskab,28869134,125.0,330000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-SYSTEM A/S,"Hjaltevej 16, 8464 Galten",Skanderborg,22.09.1992,38.0,Lille,Aktieselskab,16440973,1.094,18903000.0,DKK,2024.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWT Danmark A/S,"Geminivej 24, 2670 Greve",Greve,12.11.1984,223.0,Mellemstor,Aktieselskab,76381615,5.1,167135000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makeen EnviroTech A/S,"Alsvej 21, 8940 Randers SV",Randers,01.01.2017,63.0,Mellemstor,Aktieselskab,38331760,500.0,-118507000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedocushions.com ApS,"Muslingevej 36 A, 8250 Egå",Århus,21.05.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39584514,50.0,-49000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimac ApS,"Rebslagervej 7, 9000 Aalborg",Aalborg,07.04.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42280178,40.0,412000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ØSTBORNHOLMS KUTTERSERVICE ApS,"Værftsvej 1, 3730 Nexø",Bornholm,18.06.2001,18.0,Lille,Anpartsselskab,26081262,125.0,13327000.0,DKK,2023.0,1,0,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECOBOTIX ApS,"Felixvej 30, 4200 Slagelse",Slagelse,06.02.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36541075,50.0,36000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC INDUSTRI A/S,"Skuderløsevej 65, 4690 Haslev",Faxe,27.12.1976,3.0,Mikro,Aktieselskab,47827019,500.0,-851000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORNAX A/S,"Tietgensvej 21, 8600 Silkeborg",Silkeborg,25.06.1975,24.0,Lille,Aktieselskab,51327918,897.0,21722000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLECON FILTRATION ApS,"Slotsalleen 34, 4200 Slagelse",Slagelse,04.03.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36556196,50.0,-21000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UB-ROBOTANLÆG ApS,"Risvangsvej 78, 8530 Hjortshøj",Århus,19.11.2013,1.0,Mikro,Anpartsselskab,35532552,163.0,1560000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOK NIELS OLE KJØLBY ApS,"Færøvej 2, 4681 Herfølge",Køge,14.03.1986,Ikke oplyst,Ikke oplyst,Anpartsselskab,10181887,125.0,98000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMON MOOS MASKINFABRIK A/S,"Kallehave 33, 6470 Sydals",Sønderborg,19.08.1970,36.0,Lille,Aktieselskab,28234813,4.0,17032000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUEN 12 ApS,"Buen 12, 6950 Ringkøbing",Ringkøbing-Skjern,31.05.2002,Ikke oplyst,Ikke oplyst,Anpartsselskab,26636779,125.0,72000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
