Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
POMI INDUSTRI ApS,"Abildvadvej 5, 9610 Nørager",Rebild,12.03.2000,8.0,Mikro,Anpartsselskab,25263383,125.0,1900000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSI Dantech AAL A/S,"Speditørvej 1, 9000 Aalborg",Aalborg,06.01.2017,68.0,Mellemstor,Aktieselskab,38330284,500.0,74772000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNI A/S,"Industriparken 8, 6880 Tarm",Ringkøbing-Skjern,23.04.1982,45.0,Lille,Aktieselskab,71003515,500.0,29411000.0,DKK,2024.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NØRREVANG AUTO -OG MASKINTEKNIK ApS,"Mjels Brovej 131, 9530 Støvring",Rebild,12.06.2002,4.0,Mikro,Anpartsselskab,26647045,125.0,2318000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klielco aps,"Krogsbækvej 5, 2610 Rødovre",Rødovre,18.01.2021,2.0,Mikro,Anpartsselskab,42043877,40.0,-19000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORBO SIEGLING DANMARK A/S,"Industrivej 15, 6640 Lunderskov",Kolding,10.09.1979,43.0,Lille,Aktieselskab,88108817,33.0,35397000.0,DKK,2023.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINIBOOSTER HYDRAULICS A/S,"Fynsgade 3, 6400 Sønderborg",Sønderborg,23.06.1986,25.0,Lille,Aktieselskab,10265282,500.0,42317000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI-PLANK ApS,"Islevdalvej 158, 2610 Rødovre",Rødovre,01.03.2007,2.0,Mikro,Anpartsselskab,30344898,125.0,2860000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eilersen Calibration Solutions ApS,"Kokkedal Industripark 4, 2980 Kokkedal",Fredensborg,24.10.2022,1.0,Mikro,Anpartsselskab,43623141,40.0,1612000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynello ApS,"Rudemøllevej 78 A, 7800 Skive",Skive,25.10.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36415657,40.0,407000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
