Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
Demin ApS,"Sundvej 12 E, 4600 Køge",Køge,31.05.2017,11.0,Lille,Anpartsselskab,38712241,50.0,3281000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PSA INDUSTRI ApS,"Toftegårdsvej 10, 8370 Hadsten",Favrskov,01.05.1978,11.0,Lille,Anpartsselskab,87554910,850.0,5711000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SKILT NEMT SKILTEFABRIK ApS,"Øster Farimagsgade 75, 2100 København Ø",København,16.09.1981,Ikke oplyst,Ikke oplyst,Anpartsselskab,60069816,150.0,635000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DAFA A/S,"Holmstrupgårdvej 12, 8220 Brabrand",Århus,05.12.2018,111.0,Mellemstor,Aktieselskab,40088873,25.0,75959000.0,DKK,2024.0,0,0,22,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nordanic A/S,"Gammelgårdsvej 67, 3520 Farum",Furesø,05.07.2002,11.0,Lille,Aktieselskab,26693985,2.0,23673000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OTV PLAST A/S,"Søndergade 115, 6600 Vejen",Vejen,12.03.2010,54.0,Mellemstor,Aktieselskab,32786308,500.0,29333000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alpha Aqua A/S,"Læssevejen 2, 6700 Esbjerg",Esbjerg,08.09.2017,16.0,Lille,Aktieselskab,38935593,9.1,-155000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MODULEX A/S,"Kløvervej 95, 7190 Billund",Billund,30.01.1963,61.0,Mellemstor,Aktieselskab,66772616,11.0,19206000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JAPO GUMMIFABRIK A/S,"Agnesvej 22, 2800 Kgs.Lyngby",Lyngby-Taarbæk,29.12.1971,Ikke oplyst,Ikke oplyst,Aktieselskab,34357412,500.0,0.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FSAP ApS,"Esplanaden 40, 1263 København K",København,13.06.1988,Ikke oplyst,Ikke oplyst,Anpartsselskab,12198132,2.12,-12000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRØNNUM PLASTSNEDKERI A/S,"Gillelejevej 28 B, 3230 Græsted",Gribskov,29.06.1999,4.0,Mikro,Aktieselskab,21867802,500.0,180000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CARMO A/S,"Højvangen 19, 3060 Espergærde",Helsingør,24.06.2004,99.0,Mellemstor,Aktieselskab,26987369,501.0,63215000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P&M Denmark ApS,"Nørre Alle 34 B 1, 5610 Assens",Assens,27.03.2023,33.0,Lille,Anpartsselskab,43945025,40.0,2285000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
