Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af råjern og råstål samt jernlegeringer,Fremstilling af stålbånd ved koldvalsning,Støbning af jernprodukter,Støbning af letmetalprodukter,"Fremstilling af rør, hule profiler og tilhørende fittings af stål",Støbning af stålprodukter,Fremstilling af aluminium,"Fremstilling af bly, zink og tin",Støbning af andre ikke-jernholdige metalprodukter,Fremstilling af ædelmetaller,Koldbehandling,Fremstilling af kobber,Fremstilling af tråd ved koldtrækning,Fremstilling af stænger ved koldtrækning
MA STÅL ApS,"Erhvervsparken Klank 9, 8464 Galten",Skanderborg,22.06.2010,11.0,Lille,Anpartsselskab,33040946,80.0,6580000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KM Vandskæring ApS,"Kystvejen 52 A, 9400 Nørresundby",Aalborg,29.11.2017,38.0,Lille,Anpartsselskab,39122146,50.0,20949000.0,DKK,2024.0,1,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMF A/S,"Hylkedamvej 70, 5591 Gelsted",Middelfart,29.06.1999,13.0,Lille,Aktieselskab,24210278,500.0,25529000.0,DKK,2023.0,1,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC-SYSTEM INSULATION A/S,"Nordvestvej 8, 9600 Aars",Vesthimmerland,01.11.1986,23.0,Lille,Aktieselskab,10504708,5.0,19190000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NITO A/S,"H.C. Ørsteds Vej 4, 6100 Haderslev",Haderslev,01.09.1957,27.0,Lille,Aktieselskab,55151628,2.0,13071000.0,DKK,2023.0,1,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BENT PEDERSEN LUNDE A/S,"Øster Lundevej 37, 5450 Otterup",Nordfyns,01.07.1989,24.0,Lille,Aktieselskab,13246106,1.9,11670000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haslev tag & Facade ApS,"Finlandsgade 16, 4690 Haslev",Faxe,21.04.2016,2.0,Mikro,Anpartsselskab,37637076,40.0,1536000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AKTIESELSKABET AF 19.8.1985,"Elmegaardsvej 3, 9620 Aalestrup",Vesthimmerland,19.08.1985,Ikke oplyst,Ikke oplyst,Aktieselskab,78849010,500.0,1986000.0,DKK,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULDALLS JERNSTØBERI A/S,"Søndergade 93, 6600 Vejen",Vejen,09.02.1978,60.0,Mellemstor,Aktieselskab,83135719,3.7,16073000.0,DKK,2023.0,0,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELENS RØR A/S,"Koesmosevej 48-58, 5500 Middelfart",Middelfart,01.10.1980,44.0,Lille,Aktieselskab,89637910,6.0,19966000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRONCESTØBERIET PETER JENSEN ApS,"Industrivej 51 B st th, 4000 Roskilde",Roskilde,10.01.1976,19.0,Lille,Anpartsselskab,44422018,300.0,6464000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KOUDALS EFTF. ApS,"Elsborgvej 47, 8840 Rødkærsbro",Viborg,06.05.2013,1.0,Mikro,Anpartsselskab,35238301,80.0,940000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG HOLDING ApS,"Kirkebakken 28, 7400 Herning",Herning,07.06.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33754620,80.0,-7000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROVITECH ApS,"Koldhøjvænget 2, 4200 Slagelse",Slagelse,07.08.2014,2.0,Mikro,Anpartsselskab,36065842,80.0,4393000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Just&Petrea ApS,"Holbergsgade 19 C st, 1057 København K",København,22.11.2023,2.0,Mikro,Anpartsselskab,44447681,40.0,141000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALCUMATIC A/S,"Rønsdam 4, 6400 Sønderborg",Sønderborg,16.05.1988,48.0,Lille,Aktieselskab,12096283,950.0,7183000.0,DKK,2024.0,1,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KABRIMED ApS,"Trekanten 8, 9270 Klarup",Aalborg,17.11.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,29189943,125.0,79000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JENS ANDERSENS MASKINFABRIK OTTERUP ApS,"Klintebjergvej 13, 5450 Otterup",Nordfyns,21.08.1975,6.0,Mikro,Anpartsselskab,51822528,200.0,2695000.0,DKK,2024.0,1,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ STEEL ApS,"Østergade 18, 6800 Varde",Varde,10.01.2014,2.0,Mikro,Anpartsselskab,35636676,50.0,315000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tantalum Marker Band Company ApS,"Midtager 26 A 1 th, 2605 Brøndby",Brøndby,23.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44075377,40.0,-2000.0,DKK,2023.0,0,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAERMOSE INDUSTRY A/S,"Aahavevej 13, 8300 Odder",Odder,04.11.1988,96.0,Mellemstor,Aktieselskab,12629885,500.0,50197000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kynde og Toft A/S,"Sydhalevej 6, 7680 Thyborøn",Lemvig,23.01.2020,58.0,Mellemstor,Aktieselskab,41142111,5.0,57597000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindø Steel Welding A/S,"Lindø Østvej 5, 5330 Munkebo",Kerteminde,31.01.2012,34.0,Lille,Aktieselskab,34220190,1.0,17010000.0,DKK,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fibercon A/S,"Kastanievænget 6, 8990 Fårup",Randers,09.03.2021,18.0,Lille,Aktieselskab,42200980,500.0,9209000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATLEVEL ApS,"Langelinie 60, 5230 Odense M",Odense,02.05.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26026407,135.0,337000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metal Group ApS,"Industrivænget 9, 4622 Havdrup",Solrød,03.07.2007,9.0,Mikro,Anpartsselskab,30512804,250.0,4349000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALUCAST J.B. ApS,"Gammelgårdsvej 96, 3520 Farum",Furesø,31.10.1974,11.0,Lille,Anpartsselskab,51636112,40.0,3699000.0,DKK,2023.0,1,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEETEC A/S,"Lollandsvej 14, 5500 Middelfart",Middelfart,01.07.1988,44.0,Lille,Aktieselskab,12579888,500.0,26374000.0,DKK,2024.0,1,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRE EATER A/S,"Vølundsvej 17, 3400 Hillerød",Hillerød,15.03.1979,72.0,Mellemstor,Aktieselskab,59538713,520.0,70915000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GuldKarma ApS,"Jegstrupvænget 615, 8310 Tranbjerg J",Århus,17.01.2019,1.0,Mikro,Anpartsselskab,40180974,40.0,36000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SCHRØTER ZINK ApS,"Isbjerg Møllevej 89, 6800 Varde",Varde,01.09.2009,4.0,Mikro,Anpartsselskab,32441009,140.0,,nan,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOT A/S,"Grønlundvej 81, 7330 Brande",Ikast-Brande,28.05.2002,345.0,Stor,Aktieselskab,26704863,50.0,241422000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
