Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af råjern og råstål samt jernlegeringer,Fremstilling af stålbånd ved koldvalsning,Støbning af jernprodukter,Støbning af letmetalprodukter,"Fremstilling af rør, hule profiler og tilhørende fittings af stål",Støbning af stålprodukter,Fremstilling af aluminium,"Fremstilling af bly, zink og tin",Støbning af andre ikke-jernholdige metalprodukter,Fremstilling af ædelmetaller,Koldbehandling,Fremstilling af kobber,Fremstilling af tråd ved koldtrækning,Fremstilling af stænger ved koldtrækning
KIRSTEINS MASKINSERVICE ApS,"Søren Kannes Vej 27 A, 8620 Kjellerup",Silkeborg,09.11.2010,4.0,Mikro,Anpartsselskab,33260180,80.0,1597000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV METALVÆRK A/S,"Ribovej 1, 6950 Ringkøbing",Ringkøbing-Skjern,11.10.1976,40.0,Lille,Aktieselskab,52975018,500.0,24194000.0,DKK,2024.0,1,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Welle Marine Aps,"Enebærvej 27, 9981 Jerup",Frederikshavn,18.06.2021,1.0,Mikro,Anpartsselskab,42478970,40.0,60000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFILFORM A/S,"Sydmarksvej 3, 5466 Asperup",Middelfart,14.05.2003,13.0,Lille,Aktieselskab,27205461,500.0,8551000.0,DKK,2023.0,1,0,24,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT JÆGER ApS,"Smedevænget 2, 4700 Næstved",Næstved,01.03.1997,10.0,Lille,Anpartsselskab,19944646,125.0,8624000.0,DKK,2024.0,0,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLÜCHER METAL A/S,"Pugdalvej 1, 7480 Vildbjerg",Herning,28.06.1974,334.0,Stor,Aktieselskab,49260016,18.0,,nan,2023.0,1,1,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-Smed & Montage ApS,"Krusbjergvej 81, 6870 Ølgod",Varde,29.08.2023,3.0,Mikro,Anpartsselskab,44268272,40.0,2435000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLY-CAP Isolering ApS,"Vintapperbuen 22, 4070 Kirke Hyllinge",Lejre,28.06.1990,8.0,Mikro,Anpartsselskab,14591397,302.0,7412000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUL-LET A/S,"Søstvej 13, 6200 Aabenraa",Aabenraa,04.11.1987,50.0,Mellemstor,Aktieselskab,11826342,4.0,24082000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IB ANDRESEN INDUSTRI A/S,"Industrivej 12, 5550 Langeskov",Kerteminde,27.09.1971,620.0,Stor,Aktieselskab,35745114,36.0,481098000.0,DKK,2024.0,1,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAC Corrosion A/S,"Færøvej 7-9, 4681 Herfølge",Køge,08.06.2001,Ikke oplyst,Ikke oplyst,Aktieselskab,26072689,1.1,6361000.0,DKK,2023.0,0,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro Extrusion Denmark A/S,"Bygmestervej 7, 6270 Tønder",Tønder,26.08.1980,264.0,Stor,Aktieselskab,51584511,30.0,231770000.0,DKK,2023.0,1,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zak ApS,"Energivej 29, 2750 Ballerup",Ballerup,16.09.2019,13.0,Lille,Anpartsselskab,40822615,40.0,5999000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM2 INDUSTRI A/S,"Brørupvænget 16, 7650 Bøvlingbjerg",Lemvig,24.06.2003,9.0,Mikro,Aktieselskab,27232043,500.0,5696000.0,DKK,2023.0,1,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERROFOSS ApS,"Bækgårdsvej 58, 4140 Borup",Køge,04.12.2003,10.0,Lille,Anpartsselskab,27465471,125.0,5140000.0,DKK,2023.0,0,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPH Armering ApS,"Industrivænget 9, 4622 Havdrup",Solrød,25.08.2021,6.0,Mikro,Anpartsselskab,42624705,40.0,710000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Procerus ApS,"Rye Byvej 13, 4281 Gørlev",Kalundborg,24.11.2022,1.0,Mikro,Anpartsselskab,43674641,40.0,3430000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K. B. HANSSON METALSTØBERI ApS,"Fælledvej 4, 9600 Aars",Vesthimmerland,27.03.2008,7.0,Mikro,Anpartsselskab,31332346,125.0,3605000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ferrodan Iron A/S,"Støberivej 5, 6900 Skjern",Ringkøbing-Skjern,29.10.2019,50.0,Mellemstor,Aktieselskab,40892257,400.0,10046000.0,DKK,2023.0,0,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S DANSK AUTOGEN SERVICE,"Sydvestvej 148, 2600 Glostrup",Glostrup,14.12.1971,11.0,Lille,Aktieselskab,35622314,500.0,15433000.0,DKK,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brande Metalkøb ApS,"Vejlevej 102, 7330 Brande",Ikast-Brande,20.05.2015,12.0,Lille,Anpartsselskab,36899964,50.0,23263000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tj Technology A/S,"Gl. Aalborgvej 39, 8830 Tjele",Viborg,24.09.2014,8.0,Mikro,Aktieselskab,36393912,500.0,6990000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POVL SØRENSEN A/S KLIPPE- & BUKKESERVICE,"Glerupvej 4, 2610 Rødovre",Rødovre,29.10.1969,11.0,Lille,Aktieselskab,24213765,500.0,6959000.0,DKK,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUFERCO DANISH STEEL A/S,"Havnevej 47, 3300 Frederiksværk",Halsnæs,22.05.2006,138.0,Mellemstor,Aktieselskab,29600953,6.508,50023000.0,DKK,2024.0,1,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maskinfabrikken Universal ApS,"Hærvejen 107, 7300 Jelling",Vejle,10.12.2019,2.0,Mikro,Anpartsselskab,40997474,40.0,292000.0,DKK,2023.0,1,0,24,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIM-TEC ApS,"Tværvej 1, 6430 Nordborg",Sønderborg,20.12.2007,10.0,Lille,Anpartsselskab,30519396,125.0,4169000.0,DKK,2023.0,1,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADIN TRADING ApS,"Værnedamsvej 3 A st th, 1819 Frederiksberg C",Frederiksberg,31.01.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35034021,80.0,15000.0,DKK,2024.0,0,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KM RUSTFRI A/S,"Gammel Rønbjerg Vej 2 a, 7800 Skive",Skive,28.08.2009,57.0,Mellemstor,Aktieselskab,32440355,500.0,-1638000.0,DKK,2023.0,1,1,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S JYDSK ALUMINIUM INDUSTRI,"Mørupvej 9, 7400 Herning",Herning,26.08.1959,244.0,Mellemstor,Aktieselskab,38523716,10.006,131329000.0,DKK,2023.0,1,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAN-TRAPPER A/S,"Cedervej 12, 7400 Herning",Herning,01.08.1992,25.0,Lille,Aktieselskab,16313882,2.5,17425000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topsoe A/S,"Haldor Topsøes Allé 1, 2800 Kgs. Lyngby",Lyngby-Taarbæk,30.11.1972,1945.0,Stor,Aktieselskab,41853816,386.25,2581000000.0,DKK,2023.0,1,1,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREMTIDEN STALDINVENTAR A/S,"Rypevej 4, 8870 Langå",Favrskov,01.05.1989,24.0,Lille,Aktieselskab,13118590,775.0,7046000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RØRBÆK A/S,"Snedkergangen 3, 2690 Karlslunde",Greve,02.04.2001,3.0,Mikro,Aktieselskab,25986245,500.0,3465000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SABRO A/S,"Holmagervej 2, 8543 Hornslet",Syddjurs,17.12.2003,33.0,Lille,Aktieselskab,10154529,690.0,17513000.0,DKK,2023.0,0,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
