Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af friske bageriprodukter,Anden forarbejdning og konservering af frugt og grøntsager,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",Fremstilling af mejeriprodukter,Fremstilling af færdige foderblandinger til landbrugsdyr,Fremstilling af andre fødevarer i.a.n.,Fremstilling af færdigretter,"Fremstilling af kakao, chokolade og sukkervarer",Fremstilling af kød- og fjerkrækødprodukter,Fremstilling af homogeniserede produkter og diætmad,Fremstilling af stivelse og stivelsesprodukter,Fremstilling af konsumis,Industriel fremstilling af brød og kager mv.,Fremstilling af mølleriprodukter,Fremstilling af olier og fedtstoffer,Forarbejdning af te og kaffe,Forarbejdning af andet kød,Fremstilling af frugt- og grøntsagssaft,Fremstilling af margarine o.lign. spiselige fedtstoffer,Fremstilling af færdige foderblandinger til kæledyr,Fremstilling af smagspræparater og krydderier,Fremstilling af dejprodukter,"Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.",Forarbejdning og konservering af fjerkrækød,Fremstilling af fiskemel,Forarbejdning af svinekød,Forarbejdning og konservering af kartofler,Fremstilling af sukker
Pure Plant ApS,"Sophienberg Vænge 8, 2960 Rungsted Kyst",Hørsholm,29.04.2016,6.0,Mikro,Anpartsselskab,37683590,50,229000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRØDFLOV ApS,"Kirstinehøj 2, 2770 Kastrup",Tårnby,08.03.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35055592,88,7000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chogo ApS,"Nørreled 8 A, 4440 Mørkøv",Holbæk,11.05.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43254499,80,23000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAGSBÆK A/S,"Simons Bakke 46, 7700 Thisted",Thisted,21.12.1979,137.0,Mellemstor,Aktieselskab,89318718,7.500,189249000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torvebageren ApS,"Abels Allé 41, 5250 Odense SV",Odense,17.01.2023,17.0,Lille,Anpartsselskab,43784234,50,3410000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baboon Coffee ApS,"Grøndalsvej 11, 5000 Odense C",Odense,28.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38214357,50,-4000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hjallerup Bageri ApS,"Søndergade 4, 9320 Hjallerup",Brønderslev-Dronninglund,15.04.2015,15.0,Lille,Anpartsselskab,36713534,50,2581000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SundBiom ApS,"Strandesplanaden 110, 2665 Vallensbæk Strand",Vallensbæk,01.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43513451,40,0.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magle Biopolymers A/S,"Københavnsvej 140, 4600 Køge",Køge,21.02.1991,65.0,Mellemstor,Aktieselskab,14893695,3.500,75396000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASQARI ApS,"Overholmvej 10, 8722 Hedensted",Hedensted,28.01.2022,1.0,Mikro,Anpartsselskab,43014935,45,152000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferm Food ApS,"Vorbassevej 12, 6622 Bække",Vejen,05.02.2019,4.0,Mikro,Anpartsselskab,40251561,67,97000.0,DKK,2023.0,0,0,10,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLSKIN ApS,"Postgade 1, 3740 Svaneke",Bornholm,01.01.2007,1.0,Mikro,Anpartsselskab,30195604,125,1710000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAGERGÅRDEN. FREDERIKSSUND ApS,"Jernbanegade 12, 3600 Frederikssund",Frederikssund,01.04.1984,14.0,Lille,Anpartsselskab,73653118,125,364000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SymbioPet Nutrition ApS,"Baldersbuen 15 D 1 tv, 2640 Hedehusene",Høje-Taastrup,21.02.2017,1.0,Mikro,Anpartsselskab,38433156,40,515000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANTMÄNNEN SCHULSTAD A/S,"Hammerholmen 21 A, 2650 Hvidovre",Hvidovre,27.02.1917,717.0,Stor,Aktieselskab,10245613,50.150,456774000.0,DKK,2023.0,1,1,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SohailT ApS,"Alleen 107 st th, 2770 Kastrup",Tårnby,08.04.2018,2.0,Mikro,Anpartsselskab,39466503,40,235000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cakery by Susanne ApS,"Søparken 7, 9640 Farsø",Vesthimmerland,20.01.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41101881,40,3000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr. Müller ApS,"Sønder Boulevard 53, 1720 København V",København,11.04.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37613940,50,29000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norrønt Food ApS,"Brøndevej 49 A, 4305 Orø",Holbæk,20.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42918180,40,255000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social Food Aps,"Puggaardsgade 14 st tv, 1573 København V",København,04.04.2022,88.0,Mellemstor,Anpartsselskab,43186167,73,8916000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byens Bager Odder ApS,"Rådhusgade 10, 8300 Odder",Odder,24.08.2016,18.0,Lille,Anpartsselskab,37956368,50,4444000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOTDOGDELI & COPENHAGEN HOTSAUCE ApS,"Scandiagade 52 st tv, 2450 København SV",København,28.05.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35862633,50,-8000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grau Smørrebrød ApS,"Ellegårdspark 73, 3520 Farum",Furesø,20.01.2017,2.0,Mikro,Anpartsselskab,38353543,50,641000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Pizza ApS,"Skagensvej 173, 9800 Hjørring",Hjørring,11.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42764574,40,-35000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREMO INGREDIENTS A/S,"Toftegårdsvej 3, 5620 Glamsbjerg",Assens,14.04.2004,154.0,Mellemstor,Aktieselskab,27688470,501,132918000.0,DKK,2023.0,0,0,10,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
