Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
KONOVS ENTERPRISE ApS,"Herningvej 68, 7540 Haderup",Herning,19.03.2021,9.0,Mikro,Anpartsselskab,42233331,40.0,2405000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKANDINAVISK EJENDOMSSELSKAB ApS,"Kogsvej 75, 6780 Skærbæk",Tønder,17.11.1999,Ikke oplyst,Ikke oplyst,Anpartsselskab,25039092,125.0,,nan,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strit Montage ApS,"Stokbrovej 49, 9381 Sulsted",Aalborg,09.05.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40527974,40.0,15000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSS NORDIC A/S,"Nils Foss Alle 1, 3400 Hillerød",Hillerød,09.01.2015,11.0,Lille,Aktieselskab,36501731,3.0,11359000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"BRDR. SOMMER, SMEDE- OG MASKINVÆRKSTEDET A/S","Anholtvej 1, 9800 Hjørring",Hjørring,17.06.1998,29.0,Lille,Aktieselskab,20962674,500.0,15258000.0,DKK,2023.0,1,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. ANDERSEN STALDSERVICE ApS,"Falstervej 12, 5800 Nyborg",Nyborg,29.01.2001,8.0,Mikro,Anpartsselskab,25869702,125.0,6538000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BØGERIS TRANSPORTBÅND A/S,"Kragelundsvej 8, 4180 Sorø",Sorø,01.10.2006,19.0,Lille,Aktieselskab,29933081,2.0,12678000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2Vent ApS,"Grønlandsvej 9, 4681 Herfølge",Køge,02.09.2015,10.0,Lille,Anpartsselskab,37065285,50.0,6763000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kvservice ApS,"Snebærvej 8, 4540 Fårevejle",Odsherred,13.06.2018,2.0,Mikro,Anpartsselskab,39642794,40.0,1223000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lene Svenningsen Holding Aps,"Umanakvej 107, 6715 Esbjerg N",Esbjerg,28.03.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37565857,40.0,0.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JP Stål Aps,"Linkøpingvej 28, 4900 Nakskov",Lolland,20.05.2020,4.0,Mikro,Anpartsselskab,41393408,50.0,1573000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Østerling Svejs og Montage ApS,"Barkærvej 4, 7900 Nykøbing M",Morsø,08.04.2019,4.0,Mikro,Anpartsselskab,40432922,40.0,3218000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S GRENAA SKIBSVÆRFT JENS VESTER OG SØNNER,"Nordhavnsvej 12, 8500 Grenaa",Norddjurs,01.12.1971,25.0,Lille,Aktieselskab,40217517,500.0,11658000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FROST Air ApS,"Amager Strandvej 390 1, 2770 Kastrup",Tårnby,24.08.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44258633,40.0,704000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
X3D ApS,"Oldenvej 33, 3490 Kvistgård",Helsingør,22.08.2023,12.0,Lille,Anpartsselskab,44249294,40.0,15036000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geomek ApS,"Skråvejen 2, 8586 Ørum Djurs",Norddjurs,29.03.2021,1.0,Mikro,Anpartsselskab,42275603,40.0,707000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legarths ApS,"Skovagervej 4, 4690 Haslev",Faxe,30.09.2016,4.0,Mikro,Anpartsselskab,38050567,250.0,1866000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF SMEDESERVICE ApS,"Smedebakken 15, 5792 Årslev",Faaborg-Midtfyn,26.04.2012,2.0,Mikro,Anpartsselskab,34482659,80.0,885000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RITEK A/S,"Ydesmindevej 1, 8560 Kolind",Syddjurs,13.09.2013,14.0,Lille,Aktieselskab,35474803,500.0,9939000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P. BESLAG ApS,"Tunisvej 10, 2770 Kastrup",Tårnby,26.11.1984,1.0,Mikro,Anpartsselskab,76133328,125.0,337000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKVA group Land Based A/S,"Vejlevej 121 1 th, 7000 Fredericia",Fredericia,19.01.2004,68.0,Mellemstor,Aktieselskab,27552870,501.0,3902000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
