Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
FYNS KØLESERVICE ApS,"Birkeshøj 5, 5762 Vester Skerninge",Svendborg,14.09.2009,1.0,Mikro,Anpartsselskab,32449123,125.0,777000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JKL Maskiner ApS,"Enslevvej 33, 8860 Ulstrup",Favrskov,17.06.2020,1.0,Mikro,Anpartsselskab,41452005,40.0,628000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blade Partners Europe A/S,"Kløvervænget 26, 6100 Haderslev",Haderslev,01.12.2017,9.0,Mikro,Aktieselskab,39165082,1.0,25176000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKATEK A/S,"Oddervej 5, 7800 Skive",Skive,12.09.2008,22.0,Lille,Aktieselskab,31755409,501.0,14952000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hvalsø Maskinforretning ApS,"Vestergade 1, 4330 Hvalsø",Lejre,12.08.2022,4.0,Mikro,Anpartsselskab,43448609,40.0,1233000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davidsen Transport ApS,"Nefeskovvej 9, 6230 Rødekro",Aabenraa,19.04.2016,2.0,Mikro,Anpartsselskab,37623636,50.0,241000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G.S. SKIBS- OG INDUSTRISERVICE ApS,"Follerupvej 67, 7000 Fredericia",Fredericia,01.01.1995,10.0,Lille,Anpartsselskab,18300338,125.0,8151000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ØSTEN SVEJSE- OG RØRSERVICE ApS,"Charlottevej 14, 4270 Høng",Kalundborg,01.04.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,25977076,125.0,5000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. JENSEN INVEST HOLDING ApS,"Sibberupvej 9 A, 4684 Holmegaard",Næstved,13.12.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25797264,125.0,0.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DK Maritime ApS,"Tværkaj 2, 6700 Esbjerg",Esbjerg,18.06.2018,9.0,Mikro,Anpartsselskab,39676095,300.0,46183000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTALTRUCK A/S,"Lucernetoften 5, 5550 Langeskov",Kerteminde,01.07.2001,28.0,Lille,Aktieselskab,26126622,608.0,16245000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRJ RØRSVEJS ApS,"Nr Bjertvej 8, 7830 Vinderup",Holstebro,07.09.2022,1.0,Mikro,Anpartsselskab,43498460,50.0,633000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invent4you Aps,"Vodskovvej 28, 9310 Vodskov",Aalborg,28.12.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,29223270,126.0,-575000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TANK TEKNIK APS,"Klasevænget 8, 5700 Svendborg",Svendborg,25.04.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30567900,125.0,0.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HANS JØRN HVID, SJELLERUPSKOV ApS","Holmvej 32, 6430 Nordborg",Sønderborg,16.06.2006,3.0,Mikro,Anpartsselskab,27523811,125.0,1531000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.ENGINES APS,"Gyvelvej 2 A, 8464 Galten",Skanderborg,29.04.2018,1.0,Mikro,Anpartsselskab,39535025,50.0,37000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INNOMETRIC ApS,"Bavnehøjvej 5, 9520 Skørping",Rebild,07.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32841309,125.0,-173000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stopdieselpest ApS,"Thurøvænget 13, 7000 Fredericia",Fredericia,31.01.2023,1.0,Mikro,Anpartsselskab,43816101,40.0,285000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O.C Ship Repair ApS,"Morsøgade 9 B, 6700 Esbjerg",Esbjerg,05.11.2020,10.0,Lille,Anpartsselskab,41860650,40.0,5240000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AJ RUSTFRI ApS,"Tværvej 1, 9230 Svenstrup J",Aalborg,09.10.2012,3.0,Mikro,Anpartsselskab,34717885,80.0,2188000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Selskabet af 17.10.2024 Aps,"Vembvej 5, 7500 Holstebro",Holstebro,03.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43304585,40.0,0.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L. SØNDERMARK ApS,"Lindevej 37, 5474 Veflinge",Nordfyns,27.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32884164,80.0,18000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREENVENT ApS,"Tempovej 37 B, 2750 Ballerup",Ballerup,01.04.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35822259,50.0,128000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brdr. Petersen Gilleleje A/S,"Carl Petersensvej 2, 3250 Gilleleje",Gribskov,17.12.1983,30.0,Lille,Aktieselskab,74047912,500.0,16688000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloch Både ApS,"Falkevej 15, 9352 Dybvad",Frederikshavn,07.12.2021,3.0,Mikro,Anpartsselskab,42899720,40.0,925000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LARSEN & CARLSEN ApS,"Håndværkervænget 20, 4873 Væggerløse",Guldborgsund,22.09.1988,7.0,Mikro,Anpartsselskab,12784279,200.0,2985000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM Byg og Montage ApS,"Øster Vase 19, 9280 Storvorde",Aalborg,14.06.2019,1.0,Mikro,Anpartsselskab,40590994,40.0,224000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BAN INTERNATIONAL ApS,"Vesterbrogade 149 1 b9, 1620 København V",København,16.03.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29417679,1.731,-289000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Swire Renewable Energy A/S,"Lyshøjen 4 st tv, 8520 Lystrup",Århus,27.11.2014,229.0,Mellemstor,Aktieselskab,36445874,6.0,116523000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKYWAYS TECHNICS A/S,"Lufthavnsvej 1 B, 6400 Sønderborg",Sønderborg,01.04.2012,65.0,Mellemstor,Aktieselskab,34472874,1.0,99656000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MAX Ejendomme ApS,"Ellelausvej 21, 8660 Skanderborg",Skanderborg,10.08.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41575522,40.0,189000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Service Nord ApS,"Gartnervænget 28, 9760 Vrå",Hjørring,11.08.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41576197,40.0,10000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Stål & Montage ApS,"Vestermarken 3, 9500 Hobro",Mariagerfjord,08.06.2018,1.0,Mikro,Anpartsselskab,39644657,50.0,649000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVIDE SANDE VODBINDERI ApS,"Nordhavnskaj 21, 6960 Hvide Sande",Ringkøbing-Skjern,28.12.1977,8.0,Mikro,Anpartsselskab,87499715,230.0,4685000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A. E. MASKINER ApS,"Bronzevej 3, 8940 Randers SV",Randers,18.08.2010,68.0,Mellemstor,Anpartsselskab,33078943,100.0,54507000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weesgaard Mechanical Support ApS,"Allingdamvej 13, 9850 Hirtshals",Hjørring,27.03.2015,9.0,Mikro,Anpartsselskab,36699493,50.0,9834000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vestas Industrial Cooling ApS,"Smed Hansens Vej 13, 6940 Lem St",Ringkøbing-Skjern,06.05.2020,21.0,Lille,Anpartsselskab,41343842,100.0,9336000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allset Industries A/S,"Vagervej 5, 6700 Esbjerg",Esbjerg,04.12.2017,47.0,Lille,Aktieselskab,39133555,500.0,40539000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"C.H. Rustfri, Danmark ApS","Hejls Skovvej 10, 6094 Hejls",Kolding,20.11.2020,36.0,Lille,Anpartsselskab,41873051,40.0,19591000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LF Truck ApS,"Randersvej 4, 4800 Nykøbing F",Guldborgsund,06.02.2020,4.0,Mikro,Anpartsselskab,41147474,50.0,1280000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safinah Group ApS,"Grusbakken 18, 2820 Gentofte",Gentofte,27.10.2021,3.0,Mikro,Anpartsselskab,42788139,40.0,3031000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Den Sorte Smed ApS,"Nyvej 6, 5492 Vissenbjerg",Assens,01.12.2020,2.0,Mikro,Anpartsselskab,41903023,40.0,1149000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURO INDUSTRIES A/S,"Fabriksvej 10, 9690 Fjerritslev",Jammerbugt,27.05.2002,54.0,Mellemstor,Aktieselskab,26629616,500.0,47575000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA Teknik ApS,"Gl Kongevej 11, 8643 Ans By",Silkeborg,31.03.2022,1.0,Mikro,Anpartsselskab,43169882,40.0,404000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalstrup Maskiner ApS,"Knudstrupvej 24, 8870 Langå",Favrskov,14.12.2020,4.0,Mikro,Anpartsselskab,41961597,40.0,1844000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leif Larsen Marine A/S,"Håndværkervænget 6, 5700 Svendborg",Svendborg,02.02.2006,11.0,Lille,Aktieselskab,29321507,500.0,5257000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIBR Consulting ApS,"Skytteengen 15, 4230 Skælskør",Slagelse,14.12.2022,1.0,Mikro,Anpartsselskab,43708473,40.0,1788000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K.J. ELEKTRO A/S,"Ndr Ringvej 17, 4800 Nykøbing F",Guldborgsund,01.03.2001,12.0,Lille,Aktieselskab,25923103,500.0,4775000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT Marine Service ApS,"Gammel Holtevej 102 B, 2840 Holte",Rudersdal,07.02.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43037994,40.0,38000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C-Leanship A/S,"Stensbjergvej 7 3 th, 4600 Køge",Køge,10.01.2011,16.0,Lille,Aktieselskab,33392427,7.227,-27798000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nørskovs Produktforretning og Containerservice ApS,"Toftegaardsvej 4, 9620 Aalestrup",Vesthimmerland,16.05.2017,2.0,Mikro,Anpartsselskab,38647946,50.0,4419000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elektro Service Dronninglund ApS,"Bødkervej 1, 9330 Dronninglund",Brønderslev-Dronninglund,20.12.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38269720,50.0,7000.0,DKK,2024.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vestsjællands Materielservice ApS,"Skelbæk 10, 4460 Snertinge",Kalundborg,08.05.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43246526,40.0,-16000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rederiet Jensen & Larsson ApS,"Odensegade 30 4 th, 2100 København Ø",København,26.03.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42257133,40.0,-481000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SERMAN & TIPSMARK A/S,"Maltvej 12, 9700 Brønderslev",Brønderslev-Dronninglund,12.10.1998,56.0,Mellemstor,Aktieselskab,21363839,3.259,40328000.0,DKK,2024.0,1,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZITON Contractors A/S,"Bygholm Søpark 21 E, 8700 Horsens",Horsens,09.02.2017,36.0,Lille,Aktieselskab,38410644,500.0,16664000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BØNNERUP STRAND SKIBS- & BAADEBYGGERI ApS,"Isingvej 12, 8585 Glesborg",Norddjurs,08.06.2001,3.0,Mikro,Anpartsselskab,26079381,200.0,1834000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SCANTEC SKOVMASKINER ApS,"Birkegårdsvej 1, 9240 Nibe",Aalborg,29.04.2008,1.0,Mikro,Anpartsselskab,31414717,150.0,550000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP PUMPER ApS,"Bonderødvej 4, 4640 Faxe",Faxe,24.11.2011,11.0,Lille,Anpartsselskab,32305334,80.0,1387000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJ Installation ApS,"Egemosevej 10, 5871 Frørup",Nyborg,03.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41425539,40.0,-6000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAARBY SMEDIE- & KUNSTSMEDIE ApS,"Stærmosevej 3, 5683 Haarby",Assens,15.10.1990,2.0,Mikro,Anpartsselskab,14607676,200.0,1398000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ FYN HOLDING ApS,"Næsvej 1, 5610 Assens",Assens,21.08.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31632161,125.0,0.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Automatik ApS,"Tunøvej 2, 7000 Fredericia",Fredericia,01.08.2021,1.0,Mikro,Anpartsselskab,42574090,40.0,892000.0,DKK,2024.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Maskinservice ApS,"Nordre Ryevej 51, 4060 Kirke Såby",Lejre,27.06.2023,1.0,Mikro,Anpartsselskab,44143917,40.0,1170000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elektro Gruppen A/S,"Maltvej 20, 9700 Brønderslev",Brønderslev-Dronninglund,05.03.1999,59.0,Mellemstor,Aktieselskab,21522775,500.0,36020000.0,DKK,2024.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tekvice ApS,"Tornelundsvej 13, 4690 Haslev",Faxe,25.01.2018,2.0,Mikro,Anpartsselskab,39280663,50.0,611000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABSTRACTA TOFTLUND A/S,"Gammel Ørderupvej 2, 6520 Toftlund",Tønder,01.10.2000,5.0,Mikro,Aktieselskab,25637690,500.0,2737000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMJ A/S,"Vesterlundvej 5, 2730 Herlev",Herlev,05.09.1957,Ikke oplyst,Ikke oplyst,Aktieselskab,53304516,505.0,6801000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEAM-UP ApS,"Rolighedsvej 26, 5900 Rudkøbing",Langeland,13.03.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36896523,40.0,12000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tecpro ApS,"Egebækvej 6, 7480 Vildbjerg",Herning,12.10.2016,1.0,Mikro,Anpartsselskab,38113305,50.0,220000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orleans Energy Limited ApS,"Engkrogen 10, 9700 Brønderslev",Brønderslev-Dronninglund,25.10.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39037122,50.0,-14000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nano Penge ApS,"Åsvej 10, 7700 Thisted",Thisted,15.12.2003,Ikke oplyst,Ikke oplyst,Anpartsselskab,27482287,125.0,-1000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-TECH HOLDING ApS,"Mølkærvej 12, 7100 Vejle",Vejle,26.04.2007,1.0,Mikro,Anpartsselskab,30570340,40.0,72000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM Marine Consulting A/S,"Blåkildevej 51, 9510 Arden",Mariagerfjord,15.05.2002,2.0,Mikro,Aktieselskab,26688353,501.0,-855000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sweepline ApS,"Fjællebrovejen 15, 5762 Vester Skerninge",Svendborg,04.05.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36737891,40.0,21000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDJYSK HYDRAULIC ApS,"Mølhavevej 1, 9440 Aabybro",Jammerbugt,04.10.2012,8.0,Mikro,Anpartsselskab,34717664,80.0,1617000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARM MONTAGE ApS,"Hillerup Engevej 15, 6760 Ribe",Esbjerg,16.06.2010,4.0,Mikro,Anpartsselskab,33038224,80.0,1636000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kortegård Aps.,"Granvej 23, 9000 Aalborg",Aalborg,28.04.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37648086,50.0,1545000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Smart Group ApS,"Søndergade 70, 9320 Hjallerup",Brønderslev-Dronninglund,30.10.2018,7.0,Mikro,Anpartsselskab,39986922,79.0,3349000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KK PARTNER A/S,"Stensvang Allé 4, 6650 Brørup",Vejen,28.06.2005,78.0,Mellemstor,Aktieselskab,28860439,525.0,33967000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSØ ApS,"Hallundkær 143, 9320 Hjallerup",Brønderslev-Dronninglund,17.02.2016,1.0,Mikro,Anpartsselskab,37457604,50.0,695000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamtron A/S,"Nordlandsvej 90, 8240 Risskov",Århus,21.08.1981,7.0,Mikro,Aktieselskab,67178211,500.0,2131000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ÖSTERBERGS SERVICE ApS,"Holmesøvej 13, 2660 Brøndby Strand",Brøndby,13.08.2010,1.0,Mikro,Anpartsselskab,33077009,125.0,-124000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egehøj Landbrugs- og Entreprenørmaskiner A/S,"Ny Vestergade 60, 5672 Broby",Faaborg-Midtfyn,18.06.2018,4.0,Mikro,Aktieselskab,39675641,500.0,1726000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHERN AEROTECH ApS,"Mærskvej 1, 2791 Dragør",Tårnby,17.06.2011,5.0,Mikro,Anpartsselskab,33766246,80.0,17992000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I. LÜDERS JENSEN ApS,"Strandlinien 14, 3630 Jægerspris",Frederikssund,25.02.1975,1.0,Mikro,Anpartsselskab,53602118,200.0,473000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contak ApS,"Gørtlervej 6, 9800 Hjørring",Hjørring,26.04.2010,1.0,Mikro,Anpartsselskab,32883257,80.0,-401000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLO2R ApS,"Sverigesvej 4, 9560 Hadsund",Mariagerfjord,01.10.2017,5.0,Mikro,Anpartsselskab,39008246,74.0,3014000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LUJA A/S,"Agerhatten 16 A 1, 5220 Odense SØ",Odense,28.06.2006,2.0,Mikro,Aktieselskab,29630585,500.0,1131000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SafetySecurity ApS,"Metavang 12, 2670 Greve",Greve,04.12.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34877580,80.0,0.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holmskov Rustfri A/S,"Industrivej 21, 3550 Slangerup",Frederikssund,08.06.2012,86.0,Mellemstor,Aktieselskab,34591571,500.0,26861000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Better-Climate.dk ApS,"Knud Bro Alle 7 C, 3660 Stenløse",Egedal,02.04.2019,5.0,Mikro,Anpartsselskab,40404147,50.0,2436000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JYSK ERHVERVSBYG A/S,"Vendersgade 26 E, 7000 Fredericia",Fredericia,13.12.1999,Ikke oplyst,Ikke oplyst,Aktieselskab,25094441,510.0,2098000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosenberg Maskinservice ApS,"Langelund Skolevej 1, 7323 Give",Vejle,16.06.2021,3.0,Mikro,Anpartsselskab,42470724,40.0,1077000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dantherm Denmark A/S,"Marienlystvej 65, 7800 Skive",Skive,04.06.1998,290.0,Stor,Aktieselskab,20864591,60.8,221518000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordland ATV ApS,"Bødkervej 3, 4450 Jyderup",Holbæk,21.02.2017,6.0,Mikro,Anpartsselskab,38433172,71.0,1446000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCI A/S,"Vestermarken 30, 8850 Bjerringbro",Viborg,13.10.2005,3.0,Mikro,Aktieselskab,29141304,500.0,2994000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAVNESERVICE MARINECENTER HORSENS ApS,"Nordøstpassagen 20, 8700 Horsens",Horsens,28.11.2002,6.0,Mikro,Anpartsselskab,26915066,250.0,2235000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOBE TRUCKSYN ApS,"Nis Petersens Gård 6 1 mf, 7400 Herning",Herning,13.03.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32786693,80.0,-108000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KELLE ApS,"Hylkevej 112, 8660 Skanderborg",Skanderborg,27.07.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34622760,80.0,0.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
