Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
Thøis Teknik ApS,"Bybjerg 1, 2680 Solrød Strand",Solrød,29.05.2019,1.0,Mikro,Anpartsselskab,40557784,50.0,153000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SV driftsselskab 2023-24 ApS,"Fabriksvej 8, 8881 Thorsø",Favrskov,09.06.2023,1.0,Mikro,Anpartsselskab,44110385,100.0,1669000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ARGENTO AUDIO ApS,"Emborgvej 23, 8680 Ry",Skanderborg,28.06.2007,4.0,Mikro,Anpartsselskab,30552474,125.0,3645000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TANTEC A/S,"Industrivej 6, 6640 Lunderskov",Kolding,23.03.1982,45.0,Lille,Aktieselskab,67382218,1.3,44226000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GÅSDAL BYGNINGSINDUSTRI A/S,"Bækgårdsvej 38, 6900 Skjern",Ringkøbing-Skjern,12.09.1973,279.0,Stor,Aktieselskab,46911512,6.5,171263000.0,DKK,2023.0,1,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PorSenTech ApS,"Bredgade 3 B, 9490 Pandrup",Jammerbugt,19.03.2022,5.0,Mikro,Anpartsselskab,43155954,56.0,-170000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUE GRUPPEN ApS,"Huginsvej 17, 4100 Ringsted",Ringsted,28.01.2015,4.0,Mikro,Anpartsselskab,36502827,50.0,938000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O-Robotics ApS,"Fejøvænget 29, 8381 Tilst",Århus,12.09.2022,8.0,Mikro,Anpartsselskab,43505718,103.0,572000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Krüger Wet Blaster ApS,"Erhvervsvej 1, 6650 Brørup",Vejen,01.01.2020,1.0,Mikro,Anpartsselskab,41047216,40.0,693000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adaptive Recognition Nordic A/S,"Ørestads Boulevard 73, 2300 København S",København,01.03.2019,4.0,Mikro,Aktieselskab,40343229,400.0,4926000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landbrugskomplementaren Anpartsselskab,"Fabriksvej 2, 7280 Sønder Felding",Herning,02.11.1982,Ikke oplyst,Ikke oplyst,Anpartsselskab,70965615,80.0,15000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Next Fabrication * ApS,"Elbækvej 2, 8240 Risskov",Århus,11.05.2023,2.0,Mikro,Anpartsselskab,44049309,40.0,629000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PowerAxl ApS,"Porthusgade 14 2, 9000 Aalborg",Aalborg,18.05.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36895314,40.0,-4000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRINTTRONIC STRUER A/S,"Bødkervej 2, 7600 Struer",Struer,01.12.1992,7.0,Mikro,Aktieselskab,16556602,1.5,348000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Lækagesikring ApS,"Fonnesbechsgade 11 A 1 tv, 7400 Herning",Herning,23.01.2019,1.0,Mikro,Anpartsselskab,40219064,50.0,170000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
